Title,Artist,Rank,Last Week,Peak Positon,Weeks on charts,Date
Hotel Lobby (Unc And Phew),Quavo & Takeoff,92,77,77,10,2022-12-10
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,93,-,26,11,2022-12-10
Blue Christmas,Elvis Presley,94,-,36,11,2022-12-10
Die For You,Joji,95,71,34,4,2022-12-10
Punto 40,Rauw Alejandro & Baby Rasta,96,80,72,8,2022-12-10
Bad Habits,Ed Sheeran,97,92,1,75,2022-12-10
Pink Venom,BLACKPINK,98,86,1,15,2022-12-10
Shirt,SZA,99,78,18,5,2022-12-10
Super Freaky Girl,Nicki Minaj,100,73,5,16,2022-12-10
Cairo,Karol G & Ovy On The Drums,101,89,89,2,2022-12-10
I Wanna Be Yours,Arctic Monkeys,102,98,73,13,2022-12-10
Circo Loco,Drake & 21 Savage,103,56,8,4,2022-12-10
Late Night Talking,Harry Styles,104,100,2,28,2022-12-10
Here With Me,d4vd,105,136,105,3,2022-12-10
Enemy,Imagine Dragons X JID,106,104,3,57,2022-12-10
How Do I Say Goodbye,Dean Lewis,107,91,89,9,2022-12-10
I Like You (A Happier Song),Post Malone Featuring Doja Cat,108,97,7,26,2022-12-10
Santa Claus Is Comin' To Town,Jackson 5,109,-,44,11,2022-12-10
Merry Christmas Everyone,Shakin' Stevens,110,-,40,11,2022-12-10
Sunroof,Nicky Youre & dazy,111,95,26,28,2022-12-10
Left And Right,Charlie Puth Featuring Jung Kook,112,93,5,23,2022-12-10
Wait For U,Future Featuring Drake & Tems,113,111,2,31,2022-12-10
Hold Me Closer,Elton John & Britney Spears,114,90,6,14,2022-12-10
Escapism,RAYE Featuring 070 Shake,115,-,115,1,2022-12-10
About Damn Time,Lizzo,116,108,6,33,2022-12-10
Running Up That Hill (A Deal With God),Kate Bush,117,113,1,27,2022-12-10
Unstoppable,Sia,118,118,83,42,2022-12-10
Easy On Me,Adele,119,109,1,60,2022-12-10
Dream On,Aerosmith,120,110,110,4,2022-12-10
Baby Shark,Pinkfong,121,130,38,116,2022-12-10
Besos Moja2,Wisin & Yandel + Rosalia,122,112,102,9,2022-12-10
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,123,-,53,11,2022-12-10
Rudolph The Red-Nosed Reindeer,Gene Autry,124,-,54,11,2022-12-10
"Bzrp Music Sessions, Vol. 50",Bizarrap & Duki,125,33,33,3,2022-12-10
Someone You Loved,Lewis Capaldi,126,122,24,117,2022-12-10
Driving Home For Christmas,Chris Rea,127,-,27,11,2022-12-10
Believer,Imagine Dragons,128,119,52,117,2022-12-10
Yellow,Coldplay,129,121,68,86,2022-12-10
Vigilante Shit,Taylor Swift,130,75,9,6,2022-12-10
Without Me,Eminem,131,126,39,60,2022-12-10
Merry Christmas,Ed Sheeran & Elton John,132,-,15,5,2022-12-10
Hallelujah,Pentatonix,133,-,55,11,2022-12-10
Dandelions,Ruth B.,134,132,51,46,2022-12-10
Gatubela,Karol G x Maldy,135,116,23,14,2022-12-10
Hype Boy,NewJeans,136,140,52,17,2022-12-10
Run Rudolph Run,Chuck Berry,137,-,22,12,2022-12-10
Gangsta's Paradise,Coolio Featuring L.V.,138,125,21,72,2022-12-10
You Proof,Morgan Wallen,139,117,22,29,2022-12-10
Question...?,Taylor Swift,140,84,11,6,2022-12-10
Lovely,Billie Eilish & Khalid,141,134,70,117,2022-12-10
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,142,-,78,8,2022-12-10
Happier Than Ever,Billie Eilish,143,142,6,70,2022-12-10
Forget Me,Lewis Capaldi,144,128,48,12,2022-12-10
Little Saint Nick,The Beach Boys,145,-,53,11,2022-12-10
Pepas,Farruko,146,144,7,72,2022-12-10
Shape Of You,Ed Sheeran,147,137,55,117,2022-12-10
Industry Baby,Lil Nas X & Jack Harlow,148,145,2,71,2022-12-10
Viva La Vida,Coldplay,149,138,114,15,2022-12-10
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,150,139,41,117,2022-12-10
Ferrari,James Hype & Miggy Dela Rosa,151,141,25,24,2022-12-10
Privileged Rappers,Drake & 21 Savage,152,94,9,4,2022-12-10
No Role Modelz,J. Cole,153,154,97,76,2022-12-10
Murder In My Mind,Kordhell,154,151,113,16,2022-12-10
Shinunoga E-Wa,Fujii Kaze,155,150,118,12,2022-12-10
Tomorrow 2,GloRilla & Cardi B,156,123,39,10,2022-12-10
Evoque Prata,MC MENOR HR E MC Menor SG & DJ ESCOBAR,157,147,147,2,2022-12-10
Watermelon Sugar,Harry Styles,158,152,9,117,2022-12-10
Rock And A Hard Place,Bailey Zimmerman,159,131,59,25,2022-12-10
Call Out My Name,The Weeknd,160,196,97,24,2022-12-10
abcdefu,GAYLE,161,161,1,55,2022-12-10
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,162,-,88,8,2022-12-10
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,163,165,89,20,2022-12-10
505,Arctic Monkeys,164,168,94,41,2022-12-10
Broke Boys,Drake & 21 Savage,165,102,12,4,2022-12-10
Nxde,(G)I-DLE,166,143,50,6,2022-12-10
The Hills,The Weeknd,167,189,44,46,2022-12-10
Mastermind,Taylor Swift,168,105,13,6,2022-12-10
Vista Al Mar,Quevedo,169,160,114,11,2022-12-10
Vegas,Doja Cat,170,149,28,27,2022-12-10
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,171,-,55,11,2022-12-10
Like It's Christmas,Jonas Brothers,172,-,57,9,2022-12-10
Counting Stars,OneRepublic,173,153,96,92,2022-12-10
The Real Slim Shady,Eminem,174,164,59,48,2022-12-10
Ghost,Justin Bieber,175,173,16,63,2022-12-10
BackOutsideBoyz,Drake,176,99,10,4,2022-12-10
Celestial,Ed Sheeran,177,156,42,9,2022-12-10
Have Yourself A Merry Little Christmas,Michael Buble,178,-,52,11,2022-12-10
Shallow,Lady Gaga & Bradley Cooper,179,162,59,117,2022-12-10
I'm Not The Only One,Sam Smith,180,166,94,15,2022-12-10
When I Was Your Man,Bruno Mars,181,163,151,14,2022-12-10
Te Felicito,Shakira & Rauw Alejandro,182,170,11,32,2022-12-10
I Was Never There,The Weeknd Featuring Gesaffelstein,183,-,119,18,2022-12-10
Con La Brisa,Foudeqush & Ludwig Goransson,184,103,103,3,2022-12-10
Do I Wanna Know?,Arctic Monkeys,185,190,119,28,2022-12-10
Tarot,Bad Bunny & Jhay Cortez,186,174,9,30,2022-12-10
Only Love Can Hurt Like This,Paloma Faith,187,-,75,25,2022-12-10
Party,Bad Bunny & Rauw Alejandro,188,172,8,30,2022-12-10
Alone,Burna Boy,189,146,143,3,2022-12-10
Lose Yourself,Eminem,190,181,25,43,2022-12-10
Circles,Post Malone,191,184,49,117,2022-12-10
Que Agonia,Yuridia & Angela Aguilar,192,-,192,1,2022-12-10
Sweet Child O' Mine,Guns N' Roses,193,171,57,86,2022-12-10
Shut Up My Moms Calling,Hotel Ugly,194,-,194,1,2022-12-10
This Christmas,Donny Hathaway,195,-,62,9,2022-12-10
Take Me To Church,Hozier,196,191,123,92,2022-12-10
After Like,IVE,197,175,20,15,2022-12-10
The Kind Of Love We Make,Luke Combs,198,133,38,24,2022-12-10
10:35,Tiesto Featuring Tate McRae,199,179,141,4,2022-12-10
Wasted On You,Morgan Wallen,200,176,19,45,2022-12-10
All I Want For Christmas Is You,Mariah Carey,1,1,1,25,2022-12-17
Last Christmas,Wham!,2,5,2,21,2022-12-17
Creepin',"Metro Boomin, The Weeknd & 21 Savage",3,-,3,1,2022-12-17
Rockin' Around The Christmas Tree,Brenda Lee,4,4,3,18,2022-12-17
Unholy,Sam Smith & Kim Petras,5,2,1,11,2022-12-17
Jingle Bell Rock,Bobby Helms,6,8,4,18,2022-12-17
Anti-Hero,Taylor Swift,7,3,1,7,2022-12-17
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",8,-,8,1,2022-12-17
Santa Tell Me,Ariana Grande,9,15,5,18,2022-12-17
It's Beginning To Look A Lot Like Christmas,Michael Buble,10,17,6,18,2022-12-17
As It Was,Harry Styles,11,9,1,36,2022-12-17
Rich Flex,Drake & 21 Savage,12,6,1,5,2022-12-17
I'm Good (Blue),David Guetta & Bebe Rexha,13,7,2,15,2022-12-17
It's The Most Wonderful Time Of The Year,Andy Williams,14,18,7,17,2022-12-17
Underneath The Tree,Kelly Clarkson,15,21,8,17,2022-12-17
Calm Down,Rema & Selena Gomez,16,10,5,23,2022-12-17
Feliz Navidad,Jose Feliciano,17,27,9,16,2022-12-17
A Holly Jolly Christmas,Burl Ives,18,25,13,16,2022-12-17
La Jumpa,Arcangel & Bad Bunny,19,-,19,1,2022-12-17
Made You Look,Meghan Trainor,20,11,6,7,2022-12-17
Niagara Falls (Foot Or 2),"Metro Boomin, Travis Scott & 21 Savage",21,-,21,1,2022-12-17
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,22,29,11,16,2022-12-17
Too Many Nights,Metro Boomin Featuring Don Toliver & Future,23,-,23,1,2022-12-17
La Bachata,Manuel Turizo,24,14,6,22,2022-12-17
Under The Influence,Chris Brown,25,12,3,20,2022-12-17
Me Porto Bonito,Bad Bunny & Chencho Corleone,26,22,2,31,2022-12-17
Titi Me Pregunto,Bad Bunny,27,23,4,31,2022-12-17
Sleigh Ride,The Ronettes,28,36,13,15,2022-12-17
Umbrella,"Metro Boomin, 21 Savage & Young Nudy",29,-,29,1,2022-12-17
Raindrops (Insane),Metro Boomin & Travis Scott,30,-,30,1,2022-12-17
Another Love,Tom Odell,31,19,14,84,2022-12-17
Miss You,Oliver Tree & Robin Schulz,32,16,11,9,2022-12-17
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,33,24,1,22,2022-12-17
I Ain't Worried,OneRepublic,34,20,5,27,2022-12-17
Wild Flower,RM With Youjeen,35,-,35,1,2022-12-17
Escapism,RAYE Featuring 070 Shake,36,115,36,2,2022-12-17
Dreamers (Music From The FIFA World Cup Qatar 2022),Jung Kook,37,13,9,3,2022-12-17
Bad Habit,Steve Lacy,38,26,8,22,2022-12-17
Snowman,Sia,39,51,25,20,2022-12-17
The Christmas Song (Merry Christmas To You),Nat King Cole,40,46,16,15,2022-12-17
It's Beginning To Look Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,41,52,27,14,2022-12-17
Trance,"Metro Boomin, Travis Scott & Young Thug",42,-,42,1,2022-12-17
White Christmas,Bing Crosby,43,50,24,15,2022-12-17
Save Your Tears,The Weeknd & Ariana Grande,44,31,1,101,2022-12-17
Mistletoe,Justin Bieber,45,54,19,16,2022-12-17
On Time,Metro Boomin & John Legend,46,-,46,1,2022-12-17
Metro Spider,Metro Boomin & Young Thug,47,-,47,1,2022-12-17
Christmas (Baby Please Come Home),Darlene Love,48,62,27,15,2022-12-17
Die For You,The Weeknd,49,38,36,40,2022-12-17
Hey Mor,Ozuna Featuring Feid,50,32,27,8,2022-12-17
Do They Know It's Christmas?,Band Aid,51,63,20,14,2022-12-17
Cuff It,Beyonce,52,30,12,19,2022-12-17
Until I Found You,Stephen Sanchez,53,55,44,30,2022-12-17
Bloody Mary,Lady Gaga,54,-,54,1,2022-12-17
Heat Waves,Glass Animals,55,39,1,101,2022-12-17
Around Me,Metro Boomin Featuring Don Toliver,56,-,56,1,2022-12-17
Wonderful Christmastime,Paul McCartney,57,72,18,15,2022-12-17
Lift Me Up,Rihanna,58,28,3,6,2022-12-17
Walk Em Down (Don't Kill Civilians),Metro Boomin & 21 Savage Featuring Mustafa,59,-,59,1,2022-12-17
Merry Christmas,Ed Sheeran & Elton John,60,132,15,6,2022-12-17
Holly Jolly Christmas,Michael Buble,61,78,29,13,2022-12-17
Despecha,Rosalia,62,35,6,19,2022-12-17
Ojitos Lindos,Bad Bunny & Bomba Estereo,63,42,4,31,2022-12-17
Efecto,Bad Bunny,64,43,7,31,2022-12-17
Golden Hour,JVKE,65,33,25,15,2022-12-17
Jingle Bells,Frank Sinatra,66,73,42,13,2022-12-17
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,67,93,26,12,2022-12-17
Kick Back,Kenshi Yonezu,68,34,13,9,2022-12-17
I Can't Save You (Interlude),Metro Boomin & Future Featuring Don Toliver,69,-,69,1,2022-12-17
Snap,Rosa Linn,70,40,18,22,2022-12-17
Subtitle,Official HIGE DANdism,71,45,29,8,2022-12-17
Just Wanna Rock,Lil Uzi Vert,72,37,30,8,2022-12-17
Mockingbird,Eminem,73,44,44,8,2022-12-17
Sweater Weather,The Neighbourhood,74,49,25,115,2022-12-17
Something In The Orange,Zach Bryan,75,47,23,32,2022-12-17
Merry Christmas Everyone,Shakin' Stevens,76,110,40,12,2022-12-17
One Thing At A Time,Morgan Wallen,77,-,77,1,2022-12-17
Deck The Halls,Nat King Cole,78,80,73,11,2022-12-17
Blue Christmas,Elvis Presley,79,94,36,12,2022-12-17
Blinding Lights,The Weeknd,80,59,2,118,2022-12-17
Stay,The Kid LAROI & Justin Bieber,81,56,1,74,2022-12-17
Cold Heart (PNAU Remix),Elton John & Dua Lipa,82,58,3,69,2022-12-17
Feel The Fiyaaaah,Metro Boomin & A$AP Rocky Featuring Takeoff,83,-,83,1,2022-12-17
Moscow Mule,Bad Bunny,84,67,2,31,2022-12-17
Antifragile,LE SSERAFIM,85,53,38,8,2022-12-17
Lavender Haze,Taylor Swift,86,41,2,7,2022-12-17
Driving Home For Christmas,Chris Rea,87,127,27,12,2022-12-17
Santa Claus Is Comin' To Town,Jackson 5,88,109,44,12,2022-12-17
Bones,Imagine Dragons,89,61,32,39,2022-12-17
Shivers,Ed Sheeran,90,68,3,65,2022-12-17
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,91,123,53,12,2022-12-17
Levitating,Dua Lipa,92,66,2,114,2022-12-17
Glimpse Of Us,Joji,93,65,2,26,2022-12-17
Neverita,Bad Bunny,94,76,16,31,2022-12-17
Tennessee Fan,Morgan Wallen,95,-,95,1,2022-12-17
Monotonia,Shakira + Ozuna,96,57,18,7,2022-12-17
All The Money (Bonus),Metro Boomin & Gunna,97,-,97,1,2022-12-17
Lock On Me,"Metro Boomin, Travis Scott & Future",98,-,98,1,2022-12-17
Jimmy Cooks,Drake Featuring 21 Savage,99,77,3,25,2022-12-17
Romantic Homicide,d4vd,100,64,35,14,2022-12-17
No Se Va,Grupo Frontera,101,69,31,11,2022-12-17
Midnight Rain,Taylor Swift,102,48,5,7,2022-12-17
Provenza,Karol G,103,90,6,33,2022-12-17
Little Saint Nick,The Beach Boys,104,145,53,12,2022-12-17
Feliz Cumpleanos Ferxxo,Feid,105,79,61,14,2022-12-17
Starboy,The Weeknd Featuring Daft Punk,106,91,52,75,2022-12-17
Run Rudolph Run,Chuck Berry,107,137,22,13,2022-12-17
Shirt,SZA,108,99,18,6,2022-12-17
Perfect,Ed Sheeran,109,83,30,118,2022-12-17
Here With Me,d4vd,110,105,105,4,2022-12-17
Bejeweled,Taylor Swift,111,60,8,7,2022-12-17
Lokera,"Rauw Alejandro, Lyanno & Brray",112,89,55,17,2022-12-17
Bad Habits,Ed Sheeran,113,97,1,76,2022-12-17
Rudolph The Red-Nosed Reindeer,Gene Autry,114,124,54,12,2022-12-17
Punto 40,Rauw Alejandro & Baby Rasta,115,96,72,9,2022-12-17
I Wanna Be Yours,Arctic Monkeys,116,102,73,14,2022-12-17
Shut Down,BLACKPINK,117,75,1,12,2022-12-17
Hotel Lobby (Unc And Phew),Quavo & Takeoff,118,92,77,11,2022-12-17
Baby Shark,Pinkfong,119,121,38,117,2022-12-17
Days That End In Why,Morgan Wallen,120,-,120,1,2022-12-17
Wait For U,Future Featuring Drake & Tems,121,113,2,32,2022-12-17
Enemy,Imagine Dragons X JID,122,106,3,58,2022-12-17
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,123,88,21,11,2022-12-17
I Like You (A Happier Song),Post Malone Featuring Doja Cat,124,108,7,27,2022-12-17
Cairo,Karol G & Ovy On The Drums,125,101,89,3,2022-12-17
Have Yourself A Merry Little Christmas,Michael Buble,126,178,52,12,2022-12-17
Snow On The Beach,Taylor Swift Featuring Lana Del Rey,127,70,3,7,2022-12-17
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,128,142,78,9,2022-12-17
Pink Venom,BLACKPINK,129,98,1,16,2022-12-17
Maroon,Taylor Swift,130,71,4,7,2022-12-17
Super Freaky Girl,Nicki Minaj,131,100,5,17,2022-12-17
Late Night Talking,Harry Styles,132,104,2,29,2022-12-17
"Let It Snow, Let It Snow, Let It Snow",Frank Sinatra With The B. Swanson Quartet,133,-,41,11,2022-12-17
Sunroof,Nicky Youre & dazy,134,111,26,29,2022-12-17
About Damn Time,Lizzo,135,116,6,34,2022-12-17
Heather,Conan Gray,136,-,20,29,2022-12-17
Easy On Me,Adele,137,119,1,61,2022-12-17
Unstoppable,Sia,138,118,83,43,2022-12-17
Running Up That Hill (A Deal With God),Kate Bush,139,117,1,28,2022-12-17
Like It's Christmas,Jonas Brothers,140,172,57,10,2022-12-17
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,141,87,87,3,2022-12-17
"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande,142,-,133,3,2022-12-17
You Proof,Morgan Wallen,143,139,22,30,2022-12-17
"You're On Your Own, Kid",Taylor Swift,144,74,7,7,2022-12-17
Spin Bout U,Drake & 21 Savage,145,84,7,5,2022-12-17
You Make It Feel Like Christmas,Gwen Stefani Featuring Blake Shelton,146,-,61,9,2022-12-17
Hype Boy,NewJeans,147,136,52,18,2022-12-17
Please Come Home For Christmas,Eagles,148,-,63,11,2022-12-17
Hold Me Closer,Elton John & Britney Spears,149,114,6,15,2022-12-17
Karma,Taylor Swift,150,81,10,7,2022-12-17
How Do I Say Goodbye,Dean Lewis,151,107,89,10,2022-12-17
Dandelions,Ruth B.,152,134,51,47,2022-12-17
On BS,Drake & 21 Savage,153,86,5,5,2022-12-17
Die For You,Joji,154,95,34,5,2022-12-17
Christmastime Is Here,Vince Guaraldi Trio,155,-,82,9,2022-12-17
Hallelujah,Pentatonix,156,133,55,12,2022-12-17
Without Me,Eminem,157,131,39,61,2022-12-17
Pussy & Millions,Drake & 21 Savage Featuring Travis Scott,158,82,6,5,2022-12-17
Besos Moja2,Wisin & Yandel + Rosalia,159,122,102,10,2022-12-17
Believer,Imagine Dragons,160,128,52,118,2022-12-17
Someone You Loved,Lewis Capaldi,161,126,24,118,2022-12-17
Yellow,Coldplay,162,129,68,87,2022-12-17
Major Distribution,Drake & 21 Savage,163,85,3,5,2022-12-17
Antidepresan,Mert Demir & Mabel Matiz,164,-,164,1,2022-12-17
Left And Right,Charlie Puth Featuring Jung Kook,165,112,5,24,2022-12-17
Dream On,Aerosmith,166,120,110,5,2022-12-17
Happier Than Ever,Billie Eilish,167,143,6,71,2022-12-17
Step Into Christmas,Elton John,168,-,55,10,2022-12-17
Pepas,Farruko,169,146,7,73,2022-12-17
Someday At Christmas,Lizzo,170,-,170,1,2022-12-17
Cozy Little Christmas,Katy Perry,171,-,79,9,2022-12-17
Industry Baby,Lil Nas X & Jack Harlow,172,148,2,72,2022-12-17
Gangsta's Paradise,Coolio Featuring L.V.,173,138,21,73,2022-12-17
Lovely,Billie Eilish & Khalid,174,141,70,118,2022-12-17
Call Out My Name,The Weeknd,175,160,97,25,2022-12-17
No Role Modelz,J. Cole,176,153,97,77,2022-12-17
Gatubela,Karol G x Maldy,177,135,23,15,2022-12-17
Rock And A Hard Place,Bailey Zimmerman,178,159,59,26,2022-12-17
"Baby, It's Cold Outside",Dean Martin,179,-,84,9,2022-12-17
abcdefu,GAYLE,180,161,1,56,2022-12-17
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,181,162,88,9,2022-12-17
The Hills,The Weeknd,182,167,44,47,2022-12-17
This Christmas,Donny Hathaway,183,195,62,10,2022-12-17
Shape Of You,Ed Sheeran,184,147,55,118,2022-12-17
Viva La Vida,Coldplay,185,149,114,16,2022-12-17
Circo Loco,Drake & 21 Savage,186,103,8,5,2022-12-17
Still Life,RM With Anderson .Paak,187,-,187,1,2022-12-17
Wasted On You,Morgan Wallen,188,200,19,46,2022-12-17
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,189,150,41,118,2022-12-17
Santa Claus Is Comin' To Town,Bruce Springsteen,190,-,115,5,2022-12-17
Forget Me,Lewis Capaldi,191,144,48,13,2022-12-17
Ferrari,James Hype & Miggy Dela Rosa,192,151,25,25,2022-12-17
Have Yourself A Merry Little Christmas,Frank Sinatra,193,-,167,4,2022-12-17
I Was Never There,The Weeknd Featuring Gesaffelstein,194,183,119,19,2022-12-17
Que Agonia,Yuridia & Angela Aguilar,195,192,192,2,2022-12-17
Ghost,Justin Bieber,196,175,16,64,2022-12-17
Fairytale Of New York,The Pogues Featuring Kirsty MacColl,197,-,49,10,2022-12-17
505,Arctic Monkeys,198,164,94,42,2022-12-17
My Only Wish (This Year),Britney Spears,199,-,112,6,2022-12-17
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,200,163,89,21,2022-12-17
All I Want For Christmas Is You,Mariah Carey,1,1,1,26,2022-12-24
Rockin' Around The Christmas Tree,Brenda Lee,2,4,2,19,2022-12-24
Last Christmas,Wham!,3,2,2,22,2022-12-24
Jingle Bell Rock,Bobby Helms,4,6,4,19,2022-12-24
Kill Bill,SZA,5,-,5,1,2022-12-24
Unholy,Sam Smith & Kim Petras,6,5,1,12,2022-12-24
Creepin',"Metro Boomin, The Weeknd & 21 Savage",7,3,3,2,2022-12-24
Santa Tell Me,Ariana Grande,8,9,5,19,2022-12-24
It's The Most Wonderful Time Of The Year,Andy Williams,9,14,7,18,2022-12-24
It's Beginning To Look A Lot Like Christmas,Michael Buble,10,10,6,19,2022-12-24
Anti-Hero,Taylor Swift,11,7,1,8,2022-12-24
Nobody Gets Me,SZA,12,-,12,1,2022-12-24
Feliz Navidad,Jose Feliciano,13,17,9,17,2022-12-24
Underneath The Tree,Kelly Clarkson,14,15,8,18,2022-12-24
A Holly Jolly Christmas,Burl Ives,15,18,13,17,2022-12-24
Calm Down,Rema & Selena Gomez,16,16,5,24,2022-12-24
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,17,22,11,17,2022-12-24
I'm Good (Blue),David Guetta & Bebe Rexha,18,13,2,16,2022-12-24
Blind,SZA,19,-,19,1,2022-12-24
As It Was,Harry Styles,20,11,1,37,2022-12-24
Rich Flex,Drake & 21 Savage,21,12,1,6,2022-12-24
Sleigh Ride,The Ronettes,22,28,13,16,2022-12-24
Made You Look,Meghan Trainor,23,20,6,8,2022-12-24
Low,SZA,24,-,24,1,2022-12-24
Shirt,SZA,25,108,18,7,2022-12-24
Love Language,SZA,26,-,26,1,2022-12-24
Seek & Destroy,SZA,27,-,27,1,2022-12-24
Escapism,RAYE Featuring 070 Shake,28,36,28,3,2022-12-24
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",29,8,8,2,2022-12-24
La Bachata,Manuel Turizo,30,24,6,23,2022-12-24
Snowman,Sia,31,39,25,21,2022-12-24
La Jumpa,Arcangel & Bad Bunny,32,19,19,2,2022-12-24
The Christmas Song (Merry Christmas To You),Nat King Cole,33,40,16,16,2022-12-24
Used,SZA Featuring Don Toliver,34,-,34,1,2022-12-24
Under The Influence,Chris Brown,35,25,3,21,2022-12-24
Snooze,SZA,36,-,36,1,2022-12-24
SOS,SZA,37,-,37,1,2022-12-24
White Christmas,Bing Crosby,38,43,24,16,2022-12-24
Another Love,Tom Odell,39,31,14,85,2022-12-24
Me Porto Bonito,Bad Bunny & Chencho Corleone,40,26,2,32,2022-12-24
Titi Me Pregunto,Bad Bunny,41,27,4,32,2022-12-24
Christmas (Baby Please Come Home),Darlene Love,42,48,27,16,2022-12-24
Mistletoe,Justin Bieber,43,45,19,17,2022-12-24
Miss You,Oliver Tree & Robin Schulz,44,32,11,10,2022-12-24
It's Beginning To Look Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,45,41,27,15,2022-12-24
Do They Know It's Christmas?,Band Aid,46,51,20,15,2022-12-24
I Ain't Worried,OneRepublic,47,34,5,28,2022-12-24
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,48,33,1,23,2022-12-24
Special,SZA,49,-,49,1,2022-12-24
Until I Found You,Stephen Sanchez,50,53,44,31,2022-12-24
Wonderful Christmastime,Paul McCartney,51,57,18,16,2022-12-24
Ghost In The Machine,SZA Featuring Phoebe Bridgers,52,-,52,1,2022-12-24
Holly Jolly Christmas,Michael Buble,53,61,29,14,2022-12-24
Bloody Mary,Lady Gaga,54,54,54,2,2022-12-24
Bad Habit,Steve Lacy,55,38,8,23,2022-12-24
Merry Christmas,Ed Sheeran & Elton John,56,60,15,7,2022-12-24
Deck The Halls,Nat King Cole,57,78,57,12,2022-12-24
Jingle Bells,Frank Sinatra,58,66,42,14,2022-12-24
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,59,67,26,13,2022-12-24
Save Your Tears,The Weeknd & Ariana Grande,60,44,1,102,2022-12-24
Gone Girl,SZA,61,-,61,1,2022-12-24
Notice Me,SZA,62,-,62,1,2022-12-24
Golden Hour,JVKE,63,65,25,16,2022-12-24
Hey Mor,Ozuna Featuring Feid,64,50,27,9,2022-12-24
Blue Christmas,Elvis Presley,65,79,36,13,2022-12-24
Die For You,The Weeknd,66,49,36,41,2022-12-24
Open Arms,SZA Featuring Travis Scott,67,-,67,1,2022-12-24
Cuff It,Beyonce,68,52,12,20,2022-12-24
F2F,SZA,69,-,69,1,2022-12-24
Ojitos Lindos,Bad Bunny & Bomba Estereo,70,63,4,32,2022-12-24
Smoking On My Ex Pack,SZA,71,-,71,1,2022-12-24
Heat Waves,Glass Animals,72,55,1,102,2022-12-24
Dreamers (Music From The FIFA World Cup Qatar 2022),Jung Kook,73,37,9,4,2022-12-24
Despecha,Rosalia,74,62,6,20,2022-12-24
Subtitle,Official HIGE DANdism,75,71,29,9,2022-12-24
Efecto,Bad Bunny,76,64,7,32,2022-12-24
Good Days,SZA,77,-,7,30,2022-12-24
Run Rudolph Run,Chuck Berry,78,107,22,14,2022-12-24
Kick Back,Kenshi Yonezu,79,68,13,10,2022-12-24
Merry Christmas Everyone,Shakin' Stevens,80,76,40,13,2022-12-24
Mockingbird,Eminem,81,73,44,9,2022-12-24
Lift Me Up,Rihanna,82,58,3,7,2022-12-24
Conceited,SZA,83,-,83,1,2022-12-24
Santa Claus Is Comin' To Town,Jackson 5,84,88,44,13,2022-12-24
Too Many Nights,Metro Boomin Featuring Don Toliver & Future,85,23,23,2,2022-12-24
Little Saint Nick,The Beach Boys,86,104,53,13,2022-12-24
Niagara Falls (Foot Or 2),"Metro Boomin, Travis Scott & 21 Savage",87,21,21,2,2022-12-24
Snap,Rosa Linn,88,70,18,23,2022-12-24
Just Wanna Rock,Lil Uzi Vert,89,72,30,9,2022-12-24
Something In The Orange,Zach Bryan,90,75,23,33,2022-12-24
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,91,91,53,13,2022-12-24
Sweater Weather,The Neighbourhood,92,74,25,116,2022-12-24
I Hate U,SZA,93,-,11,18,2022-12-24
Driving Home For Christmas,Chris Rea,94,87,27,13,2022-12-24
Too Late,SZA,95,-,95,1,2022-12-24
Blinding Lights,The Weeknd,96,80,2,119,2022-12-24
Far,SZA,97,-,97,1,2022-12-24
Stay,The Kid LAROI & Justin Bieber,98,81,1,75,2022-12-24
Cold Heart (PNAU Remix),Elton John & Dua Lipa,99,82,3,70,2022-12-24
Antifragile,LE SSERAFIM,100,85,38,9,2022-12-24
