Title;Artist;Rank;Last Week;Peak Positon;Weeks on charts;Date;Genre;Producers;Writers;Distributor
Bam Bam;Camila Cabello Featuring Ed Sheeran;137;119;5;34;2022-11-05;Pop, En Español, UK, Latin Pop;Ricky Reed, Edge, Cheche Alara & Daniel Uribe;Scott Harris, Cheche Alara, Edge, Ricky Reed, Ed Sheeran & Camila Cabello;Sony Music Entertainment
In A Minute;Lil Baby;138;53;27;17;2022-11-05;Rap, Motown, Atlanta Rap, Trap;Kaigoinkrazy & Haze (Producer);Howard New, James Elliott, Ellie Goulding, Kaigoinkrazy, Haze (Producer) & Lil Baby;Universal Music Group
Sweet Child O' Mine;Guns N' Roses;139;126;57;81;2022-11-05;Rock, Glam Rock, Alternative Rock, Alternative, Album-Oriented Rock (AOR), Eighties, Hard Rock;Mike Clink;Steven Adler, Duff McKagan, Izzy Stradlin, Axl Rose & Slash;Universal Music Group
Murder In My Mind;Kordhell;140;134;113;11;2022-11-05;Rap, Drift Phonk, Electro House, House, Electronic, EDM, Phonk;Kordhell;Kordhell;The Orchard
Mary On A Cross;Ghost;141;124;50;10;2022-11-05;Rock, Psychedelic, Alternative, Scandinavia, Sverige, Svensk Rock, Alternative Rock, Psychedelic Rock;Gene Walker & Tobias Forge;Vincent Pontare, Salem Al Fakir & Tobias Forge;None
Last Last;Burna Boy;142;110;39;21;2022-11-05;Pop, Nigerian Pidgin, Nigeria, Afrobeats;Ruuben, MD$, Off & Out & Chopstix;Chopstix, Rodney Jerkins, LaShawn Daniels, James Malcolm Olagundoye, Harvey Mason Jr., Fred Jerkins III & Burna Boy;Atlantic Records
Do I Wanna Know?;Arctic Monkeys;143;148;119;23;2022-11-05;Rock, Pop-Rock, Psychedelic, Alternative Pop, Blues, Adult Alternative, Alternative, Indie, Alternative Rock, Psychedelic Rock, British Rock, UK, Soundtrack, Blues Rock, Indie Rock;Ross Orton & James Ford;Alex Turner;None
Ghost;Justin Bieber;144;120;16;58;2022-11-05;R&B, Pop, Pop-R&B, Contemporary R&B, Future Garage, Dance-Pop, Dance, Synth-Pop, Ballad, Drum & Bass, Canada;Jon Bellion & The Monsters & Strangerz;Michael Pollack, Stefan Johnson, Jordan K. Johnson, Jon Bellion & Justin Bieber;Universal Music Group
No Role Modelz;J. Cole;145;136;97;71;2022-11-05;Rap, Conscious Hip-Hop;Phonix Beats, J. Cole & DJ Dahi;J. Cole, Phonix Beats, Suga-T, D-Shot, Studio Ton, DJ Paul, , E-40 & B-Legit;None
Watermelon Sugar;Harry Styles;146;127;9;112;2022-11-05;Pop, Rock, Funk, Funk Rock, British Rock, Funk-Pop, UK, Pop-Rock;Tyler Johnson & Kid Harpoon;Tyler Johnson, Kid Harpoon, Mitch Rowland &;Sony Music Entertainment
Break My Soul;Beyonce;147;101;6;19;2022-11-05;Rap, Pop, R&B, Pop Rap, Dance, Electro House, Bounce, Dance-Pop, Electronic, Electro-Pop, House;Tricky Stewart, Beyoncé, The-Dream & Isak Swing;Beyoncé, Tricky Stewart, The-Dream, JAY-Z, BlaqNmilD, Big Freedia, Fred McFarlane & Allen George;Sony Music Entertainment
2 Be Loved (Am I Ready);Lizzo;148;130;101;8;2022-11-05;Pop, Adult Contemporary, Funk-Pop, Nu Disco, Synth-Pop;ILYA & Max Martin;Savan Kotecha, Peter Svensson, Max Martin, ILYA & Lizzo;None
Vista Al Mar;Quevedo;149;140;114;6;2022-11-05;Pop, Reggaetón, Spanish Pop, Spanish Urban, Spanish Music, En Español;BlueFire;Quevedo;None
Call Out My Name;The Weeknd;150;146;97;19;2022-11-05;Pop, R&B, Singer-Songwriter, Downtempo, Canada, Alternative R&B, Ballad, Dark Pop;Ging;Ging, Nicolas Jaar & The Weeknd;None
The Blessing;YOASOBI;151;123;76;4;2022-11-05;Pop, Genius Japan, TV, Soundtrack, Theme Song, Anime, J-Pop, Japanese, Japan;Ayase;Ayase;Bandai Namco Filmworks Inc.
Not Finished;Lil Baby;152;39;39;2;2022-11-05;Rap, Atlanta Rap, Trap;DY Krazy & B. March;Lil Baby, Cameron March, DY Krazy & B. March;Universal Music Group
abcdefu;GAYLE;153;139;1;50;2022-11-05;Rock, Pop, TikTok, Alternative Pop, Pop-Rock;Pete Nappi;GAYLE, & David Pittenger;Atlantic Records
One Kiss;Calvin Harris & Dua Lipa;154;141;43;22;2022-11-05;Pop, House, UK Garage, Funk-Pop, Electro House, Tropical House, Electronic, Dance, UK, Alternative Dance, Dance-Pop, Electro-Pop;Calvin Harris;Calvin Harris, Jessie Reyez & Dua Lipa;None
The Real Slim Shady;Eminem;155;160;59;43;2022-11-05;Rap, Beef, Detroit, Hip-Hop, Hardcore Hip-Hop;Dr. Dre & Mel-Man;Eminem, & Mel-Man;None
Besos Moja2;Wisin & Yandel + Rosalia;156;169;156;4;2022-11-05;Pop, Spanish Pop, Spanish Urban, Spanish Music, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Los Legendarios, Luny Tunes & Noah Goldstein;Wisin, Yandel, ROSALÍA, Rafy Legendario, Marc Legendario, Luny & Tunes;None
Shinunoga E-Wa;Fujii Kaze;157;153;118;7;2022-11-05;Pop, Genius Japan, Japanese, Japan, J-Pop;Yaffle;藤井風 (Fujii Kaze);None
Thank God;Kane Brown With Katelyn Brown;158;129;62;7;2022-11-05;Country, New Wave, Pop Country, Ballad, Folk Pop, Duet;Dann Huff;Christian Stalnecker, Jared Mullins, Jaxson Free, Josh Hoge & Kyle Fishman;None
Stand On It;Lil Baby;159;36;36;2;2022-11-05;Rap, Atlanta Rap, Trap;Mattazik Muzik, NicoOnTheKeys & Figurez Made It;Lil Baby, Mattazik Muzik, NicoOnTheKeys & Figurez Made It;Universal Music Group
Circles;Post Malone;160;154;49;112;2022-11-05;Rock, R&B, Pop, Synth Rock, Soft Rock, Pop-Rock, Chill, Nu Disco, Synth-Pop;Post Malone, Louis Bell & Ging;Tyler Armes, Post Malone, Louis Bell, , Kaan Güneşberk & Billy Walsh;None
The Hills;The Weeknd;161;165;44;41;2022-11-05;Pop, R&B, Alternative, Alternative Pop, Canada, Synth-Pop, Synthwave, Dark Pop, Trap, Alternative R&B;Mano & Illangelo;Thomas Raybould, Belly, , Mano &;None
La Corriente;Bad Bunny & Tony Dize;162;150;17;25;2022-11-05;Pop, Latin Pop, Reggaetón, Puerto Rico, Latin Urban, En Español, Latin Music;Albert Hype, Subelo NEO, Demy & Clipz, Tainy, La Paciencia & MAG;Tony Dize & Bad Bunny;The Orchard
Overdose;natori;163;163;163;3;2022-11-05;Pop, Romanized;None;None;None
Shallow;Lady Gaga & Bradley Cooper;164;145;59;112;2022-11-05;Rock, Duet, Piano Rock, Piano, Folk Rock, Ballad, Musicals, Soundtrack;Benjamin Rice & Lady Gaga;Andrew Wyatt, Anthony Rossomando, Mark Ronson & Lady Gaga;Universal Music Group
Dark Red;Steve Lacy;165;-;132;32;2022-11-05;Rock, R&B, Indie, Indie Rock, Neo Soul;Steve Lacy;Steve Lacy;None
Sex, Drugs, Etc.;Beach Weather;166;144;128;8;2022-11-05;Pop, Indie Pop, Indie, Dream Pop;Alex Silverman & Sean Silverman;Alex Silverman, Sean Silverman, Nick Santino & Austin Scates;None
Talk That Talk;TWICE;167;133;18;9;2022-11-05;Pop, K-Pop (케이팝), Girl Group, Korean, South Korea, Genius Korea;None;collapsedone, danke (lalala studio) & MRCH (마치);None
Smells Like Teen Spirit;Nirvana;168;162;92;93;2022-11-05;Rock, Nineties, Alternative, Hard Rock, Grunge, Alternative Rock;Butch Vig;Krist Novoselic, Dave Grohl &;Uni Distribution
I Was Never There;The Weeknd Featuring Gesaffelstein;169;143;119;14;2022-11-05;Pop, R&B, Future Garage, Electro-Pop, Alternative R&B;Ging & Gesaffelstein;Ging, Gesaffelstein & The Weeknd;None
Something Just Like This;The Chainsmokers & Coldplay;170;174;102;95;2022-11-05;Rock, Pop, Rock Pop, UK Pop, Electro, Dance Rock, Dance-Pop, British Rock, Electronic Rock, Piano Rock, Pop-Rock, Piano, EDM, Adult Contemporary, Future Bass, UK, Electro-Pop, Electronic, Dance;The Chainsmokers;Will Champion, Guy Berryman, Jonny Buckland, Andrew Taggart & Chris Martin;None
Blank Space;Taylor Swift;171;193;157;20;2022-11-05;Pop, Adult Contemporary, Electronic, Singer-Songwriter, Teen Pop, Synth-Pop, Electro-Pop;Shellback & Max Martin;Shellback, & Taylor Swift;None
Baby Otaku;Pablo Pesadilla x Polima Westcoast x Nicko OG;172;131;102;5;2022-11-05;Pop, Reggaetón, Chile, En Español, Latin Pop, Latin Urban, Latin Music;Pablito Pesadilla & Fran C;Polimá Westcoast, Fran C, Nickoog clk & Pablito Pesadilla;The Orchard
When I Was Your Man;Bruno Mars;173;173;157;9;2022-11-05;R&B, Pop, Easy Listening, Adult Contemporary, Piano, Ballad, Soul Pop;The Smeezingtons;Ari Levine, Philip Lawrence, Andrew Wyatt &;None
Pop Out;Lil Baby & Nardo Wick;174;28;28;2;2022-11-05;Rap, Florida Rap, Atlanta Rap, Trap;Trademark, Eza (Producer) & ShortyyK;Lil Baby, Nardo Wick, Trademark, ShortyyK & Eza (Producer);Universal Music Group
Dynamite;BTS;175;142;1;112;2022-11-05;Pop, K-Pop (케이팝), South Korea, Nu Disco, Boy Band, Genius Korea;David Stewart;Jessica Agombar & David Stewart;None
Middle Of The Night;Elley Duhe;176;157;25;41;2022-11-05;Pop, Electro-Pop;Andrew Wells;RØMANS, Elley Duhé & Andrew Wells;None
Only Love Can Hurt Like This;Paloma Faith;177;149;75;24;2022-11-05;Pop, Adult Contemporary, Ballad, Soul Pop, Soul, UK;Kyle Townsend & AC Burrell;Diane Warren;None
Wasted On You;Morgan Wallen;178;161;19;40;2022-11-05;R&B, Country, Country Rap, Trap, Alternative R&B, Pop Country, Ballad, Singer-Songwriter;Jacob Durrett & Joey Moi;Charlie Handsome, Josh Thompson, ERNEST & Morgan Wallen;None
Eu Gosto Assim;Gustavo Mioto & Mari Fernandez;179;-;179;1;2022-11-05;Non-Music, List, Em Português, Brasil;None;Genius Brasil;None
Dakiti;Bad Bunny & Jhay Cortez;180;180;1;104;2022-11-05;Pop, Latin Pop, Puerto Rico, En Español, Latin Music, Latin Urban;La Paciencia & Tainy;Nydia Laner, Mora, Tainy, Fino Como El Haze, Jhayco & Bad Bunny;Rimas Music
Dance Monkey;Tones And I;181;158;16;112;2022-11-05;Pop, Dance-Pop, Australia;Konstantin Kersting;Tones and I;None
Counting Stars;OneRepublic;182;166;96;87;2022-11-05;Rock, Pop, Folk Pop, Folk Rock, Folk, Dance-Pop, Dance, Dance Rock, Pop-Rock;Ryan Tedder & Noel Zancanella;Ryan Tedder;None
First Class;Jack Harlow;183;151;2;29;2022-11-05;R&B, Pop, Rap, Hip-Hop, Cloud Rap, Trap, Pop Rap;Jack Harlow, Angel López, Rogét Chahayed, Charlie Handsome & Jasper Harris;Blac Elvis, Raheem the Dream, Ludacris, Polow da Don, will.i.am, Dougie F, Jasper Harris, Charlie Handsome, Rogét Chahayed, Angel López, Fergie & Jack Harlow;Warner Music Group
Bye Bye;Marshmello & Juice WRLD;184;56;56;2;2022-11-05;Rap, Emo Trap, Chicago Rap, Emo Rap, Trap;Marshmello;Juice WRLD & Marshmello;Universal Music Group
Lose Yourself;Eminem;185;184;25;38;2022-11-05;Rap, Memes, Anthem, Theme Song, Rap-Rock, Detroit, Hardcore Hip-Hop, Hip-Hop, Soundtrack;Eminem & Jeff Bass;Eminem, & Luis Resto;None
MAMIII;Becky G X Karol G;186;171;4;37;2022-11-05;Pop, Reggaetón, México, Latin Pop, Latin Urban, En Español, Colombia, Latin Music;Ovy On The Drums;Justin Quiles, Daniel Uribe, Daniel Echevarria, Ovy On The Drums, ELENA ROSE, Becky G. & KAROL G;Sony Music Entertainment
Bohemian Rhapsody;Queen;187;168;97;108;2022-11-05;Pop, Rock, Choral Music, Progressive Pop, Album-Oriented Rock (AOR), Memes, Ballad, Glam Rock, Art Rock, Opera, Piano Rock, British Rock, Hard Rock, Piano, Seventies, UK, Progressive Rock;Queen & Roy Thomas Baker;Freddie Mercury;None
New Genesis;Ado;188;147;20;13;2022-11-05;Pop, Romanized;None;None;None
Riptide;Vance Joy;189;183;130;67;2022-11-05;Pop, Rock, Alternative Pop, Alternative Rock, Pop-Rock, Folk Pop, Ballad, Australia, Singer-Songwriter, Contemporary Folk, Adult Alternative, Adult Contemporary, Folk, Alternative, Folk Rock;John Castle, Edwin White & Vance Joy;Vance Joy;None
Take Me To Church;Hozier;190;178;123;88;2022-11-05;Rock, Pop, Pop-Rock, Soul Pop, Alternative Pop, Alternative, Piano Rock, Alternative Rock, Soul, Blue-Eyed Soul, Ballad, Dark Pop, Adult Alternative, LGBTQ+, Piano, Ireland;Rob Kirwan & Hozier;Hozier;None
La Cancion;J Balvin & Bad Bunny;191;187;123;28;2022-11-05;Pop, Latin Pop, Dancehall, Reggaetón, Puerto Rico, Colombia, En Español, Latin Music, Latin Urban;Nicael;;Universal Music Group
In Da Club;50 Cent;192;167;44;37;2022-11-05;Rap, Pop Rap, Hardcore Hip-Hop, New York, Hip-Hop, East Coast, Gangsta Rap;Dr. Dre & Mike Elizondo;50 Cent, &;Universal Music Group
Take On Me;a-ha;193;179;139;60;2022-11-05;Pop, New Wave, Memes, Scandipop, Scandinavia, Eighties, Norge, Synth-Pop;Alan Tarney;Paul Waaktaar-Savoy, Morten Harket & Magne Furuholmen;None
Desesperados;Rauw Alejandro & Chencho Corleone;194;-;13;44;2022-11-05;Pop, Reggaetón, Latin Pop, Puerto Rico, En Español, Latin Urban, Latin Music;Mr. Naisgai, Dímelo Ninow, Dulce Como Candy & Rauw Alejandro;Dímelo Ninow, Colla Sensei, Kenobi Sensei, Dulce Como Candy, Mr. Naisgai, Eric Duars, Rauw Alejandro & Chencho Corleone;Sony Music Latin
Ultra Solo;Polima WestCoast Featuring Pailita;195;181;24;26;2022-11-05;Pop, Chile, Latin Urban, Latin Pop, Reggaetón, Latin Music, En Español;Magicenelbeat;Polimá Westcoast & Pailita;None
Every Breath You Take;The Police;196;185;107;33;2022-11-05;Rock, Soft Rock, Eighties, Ballad, Dark Pop, Easy Listening, UK, Singer-Songwriter, Adult Contemporary, Pop-Rock, New Wave;The Police & Hugh Padgham;Sting;None
Remember;Becky Hill & David Guetta;197;-;89;12;2022-11-05;Pop, France, UK, Dance-Pop, Electro-Pop, Dance, Electronic, EDM;Scott Lowe, David Guetta & Franky Wah;Becky Hill, Karen Poole, David Guetta, Kye Sones, Franky Wah & Lewis Thompson;None
Woman;Doja Cat;198;189;11;67;2022-11-05;Pop, TikTok, Dance-Pop, Pop Rap, Afrobeats;Aynzli Jones, Crate Classics, Linden Jay & Yeti Beats;Aynzli Jones, Jidenna, Lydia Asrat, Linden Jay, Aaron Horn, Yeti Beats & Doja Cat;Sony Music Entertainment
Dark Horse;Katy Perry Featuring Juicy J;199;155;154;3;2022-11-05;Rap, Pop, Pop Rap, Electro-Pop, Hip-Hop, Memphis, Dark Pop, Trap;Cirkut, Max Martin & Dr. Luke;Dillon Sprecher, Katy Perry, Juicy J, Sarah Hudson, Dr. Luke, Max Martin & Cirkut;None
Where Are You Now;Lost Frequencies & Calum Scott;200;176;22;59;2022-11-05;Pop, Tropical House, UK, België/Belgique, EDM, Dance-Pop, Dance;Lost Frequencies;Joacim Persson, Dag Lundberg, Sebastian Arman, Michael Patrick Kelly & Lost Frequencies;None
Anti-Hero;Taylor Swift;1;1;1;2;2022-11-12;Pop, Pop-Rock, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Unholy;Sam Smith & Kim Petras;2;6;1;6;2022-11-12;R&B, Pop, UK Pop, Electronic, TikTok, Dark Pop, Electro-Industrial, LGBTQ+, Alternative Pop, Alternative, Deutschland, UK, Alternative R&B, Dance-Pop;Blake Slatkin, Cirkut, ILYA, Jimmy Napes, Omer Fedi & Sam Smith;Blake Slatkin, Cirkut, ILYA, Jimmy Napes, Kim Petras, Omer Fedi & Sam Smith;None
Lift Me Up;Rihanna;3;-;3;1;2022-11-12;R&B, Pop, Chamber Folk, Piano, Folk Pop, Memorial, Soul Pop, Marvel, Soundtrack, Ballad;Ludwig Göransson;Rihanna, Tems, Ludwig Göransson, Ryan Coogler & Priscilla Renea;Universal Music Group & Def Jam Recordings
I'm Good (Blue);David Guetta & Bebe Rexha;4;15;2;10;2022-11-12;Pop, Rap, Hip-Hop, Cloud Rap, Trap, Conscious Hip-Hop, Memes, West Coast;T-Minus & Nikhil Seetharam;Kendrick Lamar, T-Minus & Nikhil Seetharam;Universal Music Group
Lavender Haze;Taylor Swift;5;2;2;2;2022-11-12;R&B, Pop, Funk-Pop, Electro-Pop, Electronic, Dream Pop, Alternative Pop, Singer-Songwriter;Sounwave, Jahaan Sweet, Jack Antonoff, Taylor Swift & Braxton Cook;Taylor Swift, Jack Antonoff, Zoë Kravitz, Sounwave, Jahaan Sweet & Sam Dew;Universal Music Group
Midnight Rain;Taylor Swift;6;5;5;2;2022-11-12;Pop, Electronic Trap, Electro House, House, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Jack Antonoff & Taylor Swift;Universal Music Group
Snow On The Beach;Taylor Swift Featuring Lana Del Rey;7;3;3;2;2022-11-12;Pop, Holiday, Ballad, Dream Pop, Alternative, Alternative Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift, Lana Del Rey & Jack Antonoff;Universal Music Group
Maroon;Taylor Swift;8;4;4;2;2022-11-12;Pop, Trap, Dream Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Bejeweled;Taylor Swift;9;8;8;2;2022-11-12;Pop, Bubblegum Pop, Nu Disco, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Jack Antonoff & Taylor Swift;Universal Music Group
The Astronaut;JIN;10;-;10;1;2022-11-12;Rock, Pop-Rock, K-Rock, Korean, K-Solo, South Korea, Genius Korea;Kygo & Bill Rahko;Guy Berryman, Jonny Buckland, Will Champion, Chris Martin, Jin (진), Kygo, Joan La Barbara & Jóhann Jóhannsson;None
Under The Influence;Chris Brown;11;16;3;15;2022-11-12;R&B, Alternative R&B, Alternative, DMV;Kiddominant;Tiffany McKie, Davido, Kiddominant & Chris Brown;None
You're On Your Own, Kid;Taylor Swift;12;7;7;2;2022-11-12;Pop, Electro, Alternative Pop, Alternative, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Karma;Taylor Swift;13;10;10;2;2022-11-12;Pop, Techno, Alternative, Alternative Pop, New Wave, Electro, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Sounwave, Jack Antonoff, Keanu Beats, Taylor Swift & Jahaan Sweet;Taylor Swift, Jack Antonoff, Jahaan Sweet, Keanu Beats & Sounwave;Universal Music Group
As It Was;Harry Styles;14;17;1;31;2022-11-12;Rock, Pop, Electronic, UK Pop, Dance Rock, Funk Rock, Funk, New Wave, Synth Rock, Alternative, Alternative Rock, Funk-Pop, Alternative Pop, Dance-Pop, Dance, Pop-Rock, Synth-Pop, UK;Tyler Johnson & Kid Harpoon;Kid Harpoon, Tyler Johnson & Harry Styles;Sony Music Entertainment
Vigilante Shit;Taylor Swift;15;9;9;2;2022-11-12;Pop, Electro-Industrial, Industrial, Electronic, Electro-Pop, Synth-Pop, Dark Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift;Universal Music Group
La Bachata;Manuel Turizo;16;19;6;17;2022-11-12;Pop, Colombia, Bachata, En Español, Latin Pop, Latin Urban, Latin Music;Edge & Casta;Casta, Juan Diego Medina, Edge, Rios (PR) & Manuel Turizo;None
Calm Down;Rema & Selena Gomez;17;23;7;18;2022-11-12;R&B, Chillout, Pop-R&B, Contemporary R&B, Nigeria, Afrobeats;Andrevibez & London;Rema;Universal Music Group
Shirt;SZA;18;-;18;1;2022-11-12;R&B, Plugg, Trap, Pop Rap, Alternative, Contemporary R&B, Alternative R&B;Rodney Jerkins & Freaky Rob;SZA, Rodney Jerkins & Freaky Rob;Sony Music Entertainment
Question...?;Taylor Swift;19;11;11;2;2022-11-12;Pop, Industrial, Electro-Pop, Electronic, Singer-Songwriter, Synth-Pop;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
I Ain't Worried;OneRepublic;20;20;5;22;2022-11-12;Pop, Pop-Rock, Soundtrack;Simon Oscroft, Tyler Spry, Brent Kutzle & Ryan Tedder;Björn Yttling, Tyler Spry, Peter Morén, Brent Kutzle, John Eriksson & Ryan Tedder;None
Miss You;Oliver Tree & Robin Schulz;21;32;19;4;2022-11-12;Pop, Techno, House, Remix, Dance, Electronic;Robin Schulz;Oliver Tree, Marshmello & David Pramik;None
Bzrp Music Sessions, Vol. 52;Bizarrap & Quevedo;22;27;1;17;2022-11-12;Pop, Rap, Pop Rap, Trap, Spanish Rap, House, Spanish Pop, En Español, Spanish Music, Argentina, Spanish Urban;Bizarrap;Santiago Alvarado, Quevedo & Bizarrap;The Orchard
Titi Me Pregunto;Bad Bunny;23;28;4;26;2022-11-12;Pop, Latin Trap, Trap, Dembow, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;MAG & La Paciencia;Bad Bunny;The Orchard
Bad Habit;Steve Lacy;24;25;8;17;2022-11-12;Pop, R&B, Alternative, Soul Pop, Neo Soul, Psychedelic Soul, Soul, Psychedelic, Pop-Rock, Alternative Pop, Alternative R&B;Steve Lacy;Matthew Castellanos, John Kirby, Diana Gordon, & Steve Lacy;RCA Records & L-M Records
Me Porto Bonito;Bad Bunny & Chencho Corleone;25;26;2;26;2022-11-12;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Subelo NEO, Lennex, MAG & La Paciencia;Chencho Corleone & Bad Bunny;The Orchard
Monotonia;Shakira + Ozuna;26;18;18;2;2022-11-12;Pop, Bachata, En Español, Puerto Rico, Latin Urban, Colombia, Latin Music, Latin Pop;Albert Hype, Ciey, KEITYN, Noise Up & Shakira;Shakira, Ozuna, Albert Hype, Ciey, KEITYN, Noise Up & Sergio Robledo;None
Cuff It;Beyonce;27;29;12;14;2022-11-12;Pop, R&B, Funk-Pop, Electro-Pop, Synth-Pop, Dance, Synth Funk, Electro-Funk, Funk, Contemporary R&B, Dance-Pop, Electronic, Nu Disco;Beyoncé, NOVA WAV, Raphael Saadiq, Morten “Rissi” Ristorp & The-Dream;Beyoncé, Raphael Saadiq, Brittany Coney, The-Dream, Morten “Rissi” Ristorp, Blu June, Nile Rodgers, Teena Marie & Allen McGrier;Sony Music Entertainment
Just Dance!;Travis Japan;28;-;28;1;2022-11-12;Pop, Genius Japan, Boy Band, Japan;Sam Bergeson & Chris Farren;Sam Bergeson, Stephen Ellrod & Tim Riehm;None
Mastermind;Taylor Swift;29;13;13;2;2022-11-12;Pop, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Kick Back;Kenshi Yonezu;30;34;13;4;2022-11-12;Rock, Genius Japan, J-Rock, TV, Japanese, Japan, Soundtrack, Theme Song, Anime;常田大希 (Daiki Tsuneta) & 米津玄師 (Kenshi Yonezu);米津玄師 (Kenshi Yonezu) & つんく (TSUNKU);None
Another Love;Tom Odell;31;33;14;79;2022-11-12;Pop, Rock, UK Pop, Adult Alternative, British Rock, Alternative, Alternative Rock, Piano Rock, UK, Ballad, Singer-Songwriter, Alternative Pop, Piano, Pop-Rock;Dan Grech-Marguerat;Tom Odell;Sony Music Entertainment
Labyrinth;Taylor Swift;32;12;12;2;2022-11-12;Pop, Alternative, Alternative Pop, Bedroom Pop, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Made You Look;Meghan Trainor;33;84;33;2;2022-11-12;Pop, Teen Pop, Funk, Funk-Pop, Bubblegum Pop, Doo-Wop;Federico Vindver;Sean Douglas, Federico Vindver & Meghan Trainor;None
Sweet Nothing;Taylor Swift;34;14;14;2;2022-11-12;Pop, Dream Pop, Ballad, Electro-Pop, Electronic, Bedroom Pop, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Joe Alwyn;Universal Music Group
Subtitle;Official HIGE DANdism;35;44;35;3;2022-11-12;Pop, Genius Japan, Ballad, J-Pop, Japanese, Japan;藤原聡 (Satoshi Fujihara);藤原聡 (Satoshi Fujihara);None
Despecha;Rosalia;36;36;6;14;2022-11-12;Pop, Latin Pop, Merengue, Mambo, Spanish Music, Spanish Urban, Spanish Pop, En Español;Chris Jedi, Gaby Music, Noah Goldstein, Sir Dylan & ROSALÍA;ROSALÍA, Chris Jedi, Gaby Music, Noah Goldstein, Sir Dylan, Dímelo Ninow & David Rodríguez;Columbia Records
Thriller;Michael Jackson;37;-;28;5;2022-11-12;R&B, Pop, Dance, Dance-Pop, Dark Pop, Soundtrack, Eighties, Halloween, Funk, Synth-Pop, Soul;Quincy Jones;Rod Temperton;None
Efecto;Bad Bunny;38;41;7;26;2022-11-12;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;La Paciencia, Bass Charity & MAG;Bad Bunny;The Orchard
Snap;Rosa Linn;39;39;18;17;2022-11-12;Country, Pop, Pop Country, Armenia, Eurovision;Alex Salibian, Ethan Schneiderman & Larzz Principato;Rosa Linn, Larzz Principato, Jeremy Dusoulet, Allie Crystal, Tamar Kaprelian & Courtney Harrell;None
Golden Hour;JVKE;40;48;40;10;2022-11-12;Pop, Hip-Hop, Indie Pop, Indie, Piano, Alternative Pop, Alternative;Zac Lawson & JVKE;Zac Lawson & JVKE;None
Bones;Imagine Dragons;41;49;32;34;2022-11-12;Rock, Pop, Alternative Rock, Alternative Pop, Pop-Rock, Alternative;Mattman & Robin;Dan Reynolds, Wayne Sermon, , Daniel Platzman, Robin Fredriksson & Mattias Larsson;None
Save Your Tears;The Weeknd & Ariana Grande;42;43;1;96;2022-11-12;R&B, Pop, Ballad, Alternative Pop, Alternative, Nu Disco, Alternative R&B, New Wave, Synthwave, Canada, Synth-Pop;Oscar Holter, Max Martin & The Weeknd;The Weeknd, , DaHeala, Oscar Holter &;Universal Music Group
Super Freaky Girl;Nicki Minaj;43;42;5;12;2022-11-12;Rap, Pop, TikTok, Electro-Pop, Dance, Clash, Trap, Electronic, East Coast, Electronic Trap, Dance-Pop, Trinidad & Tobago;Dr. Luke, Malibu Babie, Vaughn Oliver & Aaron Joseph;Alonzo Miller, Rick James, Nicki Minaj, Dr. Luke, Aaron Joseph, Lauren Miller, LunchMoney Lewis & Vaughn Oliver;Universal Music Group
Antifragile;LE SSERAFIM;44;38;38;3;2022-11-12;Pop, Reggaetón, K-Pop (케이팝), Girl Group, South Korea, Genius Korea, Korean;13 (KOR);SCORE (13), Megatone (13), Paulina Cerrilla, “hitman” Bang, Shintaro Yasuda, Supreme Boi, Isabella Lovestory, Kyler Niko, Ronnie Icon, Nathalie Boone & danke (lalala studio);None
Heat Waves;Glass Animals;45;45;1;96;2022-11-12;R&B, Pop, Trap, Electronic Trap, UK R&B, Alternative R&B, Electro-Pop, Psychedelic, Alternative, Electronic, Adult Alternative, Trip-Hop, UK, Alternative Pop, Synth-Pop;Dave Bayley;Dave Bayley;Universal Music Group
