Title;Artist;Rank;Last Week;Peak Positon;Weeks on charts;Date;Genre;Producers;Writers;Distributor
Ojitos Lindos;Bad Bunny & Bomba Estereo;20;17;4;20;2022-10-01;Pop, Colombia, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Mvsis, Tainy & La Paciencia;Li Saumet, Simón Mejía (Bomba Estéreo) & Bad Bunny;The Orchard
Running Up That Hill (A Deal With God);Kate Bush;21;15;1;17;2022-10-01;Pop, Progressive Pop, Soundtrack, Memes, UK Pop, Netflix, TV, Avant Garde, Adult Contemporary, Singer-Songwriter, Alternative Pop, Alternative, Avant-Pop, Eighties, UK, Synth-Pop, New Wave, Art Pop;Kate Bush;Kate Bush;None
Moscow Mule;Bad Bunny;22;18;2;20;2022-10-01;Pop, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Scotty Dittrich, Mick Coogan, La Paciencia & MAG;Bad Bunny;The Orchard
Save Your Tears;The Weeknd & Ariana Grande;23;24;1;90;2022-10-01;R&B, Pop, Ballad, Alternative Pop, Alternative, Nu Disco, Alternative R&B, New Wave, Synthwave, Canada, Synth-Pop;Oscar Holter, Max Martin & The Weeknd;The Weeknd, , DaHeala, Oscar Holter &;Universal Music Group
Neverita;Bad Bunny;24;23;16;20;2022-10-01;Pop, House, Latin Trap, Trap, Latin Pop, Puerto Rico, En Español, Latin Urban, Latin Music;Cheo Legendary, La Paciencia & Tainy;Bad Bunny;The Orchard
Glimpse Of Us;Joji;25;21;2;15;2022-10-01;R&B, Pop, Soul Pop, Soul, Australia, Alternative R&B, Japan, Alternative Pop, Alternative, Adult Contemporary, Singer-Songwriter, Ballad, Piano;Connor McDonough;Riley McDonough, Joel Castillo, Connor McDonough, Idarose &;Warner Music Group
Sunroof;Nicky Youre & dazy;26;28;26;18;2022-10-01;Rock, Pop, Bedroom Pop, Pop-Rock, Alternative Rock, Alternative Pop, Indie, Alternative;Dazy;Nicky Youre;None
Hard To Love;BLACKPINK;27;-;27;1;2022-10-01;Pop, K-Solo, K-Pop (케이팝), Nu Disco, Pop-Rock, South Korea, Genius Korea;Teddy Park, Freddy Wexler, Blush, Max Wolfgang, 24 & R.Tee;Freddy Wexler, Blush, Max Wolfgang & Teddy Park;None
Cold Heart (PNAU Remix);Elton John & Dua Lipa;28;27;3;58;2022-10-01;Rap, Cloud Rap, Trap;Menoh;Menoh, KEELEY!, Landon Cube & Lil Skies;None
I Like You (A Happier Song);Post Malone Featuring Doja Cat;29;29;7;16;2022-10-01;Rap, Soundtrack, Broadway, History, Musicals;Lin-Manuel Miranda, ?uestlove, Black Thought, Bill Sherman & Alex Lacamoire;Lin-Manuel Miranda, Richard Rodgers, Oscar Hammerstein II, Havoc, Prodigy of Mobb Deep, The Notorious B.I.G., Easy Mo Bee & Roger Troutman;None
Hold Me Closer;Elton John & Britney Spears;30;26;6;4;2022-10-01;Pop, Singer-Songwriter, Alternative Pop, Alternative Dance, Alternative, Electro, Electronica, Electro-Pop, Electronic, Dance, Mashup, Nu Disco, Dance-Pop, UK, Remix;watt & Cirkut;Elton John, Bernie Taupin, watt & Cirkut;None
Provenza;Karol G;31;22;6;22;2022-10-01;Pop, Afrobeats, Colombia, Latin Pop, Latin Urban, Latin Music, En Español;Ovy On The Drums;KEITYN, Ovy On The Drums & KAROL G;None
Stay;The Kid LAROI & Justin Bieber;32;30;1;63;2022-10-01;R&B, Pop, Pop Rap, Contemporary R&B, Duet, New Wave, Synth-Pop, Australia, Canada;Cashmere Cat, Blake Slatkin, Omer Fedi & Charlie Puth;Finatik, , , Omer Fedi, Cashmere Cat, Blake Slatkin, , Justin Bieber & The Kid LAROI;Sony Music Entertainment
