Title;Artist;Genre;Producers;Writers;Distributor
Happier Than Ever;Billie Eilish;Pop, TikTok, Pop-Punk, Neo Soul, Soul, Alternative Pop, Pop-Rock, Grunge, Noise Pop;FINNEAS;Billie Eilish & FINNEAS;Universal Music Group
First Class;Jack Harlow;R&B, Pop, Rap, Hip-Hop, Cloud Rap, Trap, Pop Rap;Jack Harlow, Angel López, Rogét Chahayed, Charlie Handsome & Jasper Harris;Blac Elvis, Raheem the Dream, Ludacris, Polow da Don, will.i.am, Dougie F, Jasper Harris, Charlie Handsome, Rogét Chahayed, Angel López, Fergie & Jack Harlow;Warner Music Group
Starboy;The Weeknd Featuring Daft Punk;Pop, R&B, Alternative Pop, Alternative, Piano, Dark Pop, Synth-Pop, Canada, Alternative R&B;Daft Punk, Cirkut, Doc McKinney & The Weeknd;Guy-Manuel de Homem-Christo, Thomas Bangalter, DaHeala, The Weeknd, Doc McKinney & Cirkut;None
Pepas;Farruko;Pop, Guaracha, Electro House, Electronica, Electro, Electro-Pop, En Español, Puerto Rico, Latin Pop, Latin Urban, Latin Music;Sharo Towers, Ghetto, IAmChino, K4G & Víctor Cárdenas;IAmChino, Juan Manuel Gomez, Ghetto, White Star, K4G, Sharo Towers, Víctor Cárdenas, Frank Miami & Farruko;None
Ku Lo Sa;Oxlade;Pop;None;None;None
Ghost;Justin Bieber;R&B, Pop, Pop-R&B, Contemporary R&B, Future Garage, Dance-Pop, Dance, Synth-Pop, Ballad, Drum & Bass, Canada;Jon Bellion & The Monsters & Strangerz;Michael Pollack, Stefan Johnson, Jordan K. Johnson, Jon Bellion & Justin Bieber;Universal Music Group
Te Felicito;Shakira & Rauw Alejandro;Pop, Electro, Electro-Pop, Reggaetón, Colombia, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Ily Wonder, L.E.X.U.Z, KEITYN, Albert Hype & Shakira;Santiago Munera Penagos, Lenin Yorney, KEITYN, Ily Wonder, Andrés Mauricio Acosta Echeverri, Rauw Alejandro & Shakira;None
Numb;Marshmello & Khalid;Pop, House, EDM, Singer-Songwriter, Electro House, Electro, Electro-Pop, Electronic, Dance-Pop, Dance;Digital Farm Animals & Marshmello;Digital Farm Animals, Khalid, Aldae, Marshmello, Richard Boardman & R.I.Pablo;Sony Music Entertainment
Believer;Imagine Dragons;Pop, Rock, Synth Rock, Anthem, Adult Alternative, Alternative, Alternative Pop, Alternative Rock, Alternative R&B, Synth-Pop, Album-Oriented Rock (AOR), Pop-Rock;Mattman & Robin;Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman, Robin Fredriksson, Mattias Larsson & Justin Tranter;None
Caile;Luar La L;Pop, Latin Pop, En Español, Puerto Rico, Latin Urban, Latin Music, Reggaetón;Yama (Producer);Luar La L;None
Unstoppable;Sia;Pop, Electronic, Electro-Pop, New Wave, Australia;Jesse Shatkin;Chris Braide & Sia;None
Billie Eilish.;Armani White;Rap;July Da Producer;Armani White, Pharrell Williams, N.O.R.E., Greg Camp & July Da Producer;Universal Music Group
La Corriente;Bad Bunny & Tony Dize;Pop, Latin Pop, Reggaetón, Puerto Rico, Latin Urban, En Español, Latin Music;Albert Hype, Subelo NEO, Demy & Clipz, Tainy, La Paciencia & MAG;Tony Dize & Bad Bunny;The Orchard
Industry Baby;Lil Nas X & Jack Harlow;Pop, Rap, Pop Rap, Hip-Hop, Atlanta Rap, Trap;Drew Sliger, Roy Lenzo, Ojivolta, Nick Lee, Kanye West & Take a Daytrip;Roy Lenzo, Mark Williams, Raul Cubina, Kanye West, , David Biral, Denzel Baptiste, Jack Harlow & Lil Nas X;Sony Music Entertainment
Baby Shark;Pinkfong;Pop, Dance-Pop, Dance, Memes, Children's Music;Pinkfong (핑크퐁);Robin Davies & Shawnee Lamb;None
Someone You Loved;Lewis Capaldi;Pop, Soul Pop, UK Pop, Adult Contemporary, Adult Alternative, Singer-Songwriter, Ballad, Piano, UK;TMS;Ben Kohn, , Pete Kelleher, & Tom Barnes;None
Feliz Cumpleanos Ferxxo;Feid;Pop, Reggaetón, Colombia, En Español, Latin Pop, Latin Urban, Latin Music;Jowan & Sky Rompiendo;Feid, Jowan, Rolo, Wain & Sky Rompiendo;Universal Music Group
Summertime Sadness;Lana Del Rey vs. Cedric Gervais;Pop, Alternative Pop, Alternative, Ballad, Dark Pop, Baroque Pop, Trip-Hop;Emile Haynie;Lana Del Rey & Rick Nowels;Universal Music Group
Dandelions;Ruth B.;Pop, Canada, Trap, Alternative Pop, Alternative R&B, Ballad;Joel Little;Ruth B.;None
Easy On Me;Adele;Pop, Adult Contemporary, Blue-Eyed Soul, Singer-Songwriter, Soul, Ballad, UK, Piano;Greg Kurstin;Greg Kurstin & Adele;Sony Music Entertainment
Shape Of You;Ed Sheeran;Pop, UK Pop, Dance-Pop, Electro, Electro-Pop, Dancehall, Synth-Pop, Dance, Singer-Songwriter, Tropical House, UK;Steve Mac;Steve Mac, Tameka “Tiny” Harris, , Kevin “She’kspere” Briggs, & Johnny McDaid;None
Attention;NewJeans;R&B, Pop, Dance-Pop, Pop-R&B, Contemporary R&B, K-R&B, K-Pop (케이팝), South Korea, Genius Korea, Korean, Girl Group;250;Danielle (NewJeans), Gigi (KOR), Duckbay & 250;None
Ultra Solo;Polima WestCoast Featuring Pailita;Pop, Chile, Latin Urban, Latin Pop, Reggaetón, Latin Music, En Español;Magicenelbeat;Polimá Westcoast & Pailita;None
One Kiss;Calvin Harris & Dua Lipa;Pop, House, UK Garage, Funk-Pop, Electro House, Tropical House, Electronic, Dance, UK, Alternative Dance, Dance-Pop, Electro-Pop;Calvin Harris;Calvin Harris, Jessie Reyez & Dua Lipa;None
Sweet Child O' Mine;Guns N' Roses;Rock, Glam Rock, Alternative Rock, Alternative, Album-Oriented Rock (AOR), Eighties, Hard Rock;Mike Clink;Steven Adler, Duff McKagan, Izzy Stradlin, Axl Rose & Slash;Universal Music Group
Watermelon Sugar;Harry Styles;Pop, Rock, Funk, Funk Rock, British Rock, Funk-Pop, UK, Pop-Rock;Tyler Johnson & Kid Harpoon;Tyler Johnson, Kid Harpoon, Mitch Rowland &;Sony Music Entertainment
Hotel;Montell Fish;R&B, Soul;Montell Fish;Montell Fish;Universal Music Group
505;Arctic Monkeys;Rock, UK Pop, Indie Pop, Post-Britpop, Psychedelic, Psychedelic Rock, Rock Pop, Alternative Pop, Alternative, Alternative Rock, Pop-Rock, Indie, British Rock, Post-Punk Revival, Garage Rock, UK, Indie Rock;Mike Crossey & James Ford;Alex Turner, Jamie Cook, Matt Helders & Nick O’Malley;None
Bound 2;Kanye West;Pop, Rap, Hip-Hop, Experimental Pop, Soul Rap, Soul Pop, Soul, Experimental, Chicago Rap, Art Pop, Neo Soul, Chipmunk Soul, Pop Rap, Experimental Hip-Hop;Eric Danchild, Che Pope, Noah Goldstein, MIKE DEAN, No I.D. & Kanye West;John Legend, , Lester Allen McKenzie, Noah Goldstein, MIKE DEAN, The World Famous Tony Williams, Ronnie Self, Robert Dukes, , Norman Whiteside, Sakiya Sandifer, Malik Yusef, , Elon Rutberg, , Charlie Wilson & Kanye West;None
abcdefu;GAYLE;Rock, Pop, TikTok, Alternative Pop, Pop-Rock;Pete Nappi;GAYLE, & David Pittenger;Atlantic Records
Ojos Marrones;Lasso;Pop, Venezuela, Latin Music, Latin Pop, En Español;Renzo Bravo & Orlando Vitto;Luis Jimenez, Lasso & Agustín Zubillaga;None
I'm Not The Only One;Sam Smith;R&B, Pop, Orchestral, Singer-Songwriter, Piano, Adult Contemporary, Blue-Eyed Soul, Soul, Soul Pop, Ballad, Pop-Rock, UK;Steve Fitzmaurice & Jimmy Napes;Sam Smith & Jimmy Napes;None
Sunflower (Spider-Man: Into The Spider-Verse);Post Malone & Swae Lee;Rap, Pop, R&B, Alternative, Pop Rap, Alternative Pop, Synth-Pop, Alternative R&B, Marvel, Soundtrack;Carter Lang & Louis Bell;Post Malone, Carl Rosen, Carter Lang, Swae Lee, & Billy Walsh;None
Despues de La Playa;Bad Bunny;Pop, Cuarteto, Mambo, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;MAG, Elikai, La Paciencia & Dahian El Apechao;Bad Bunny;The Orchard
Call Out My Name;The Weeknd;Pop, R&B, Singer-Songwriter, Downtempo, Canada, Alternative R&B, Ballad, Dark Pop;Ging;Ging, Nicolas Jaar & The Weeknd;None
Only Love Can Hurt Like This;Paloma Faith;Pop, Adult Contemporary, Ballad, Soul Pop, Soul, UK;Kyle Townsend & AC Burrell;Diane Warren;None
September;Earth, Wind & Fire;R&B, Memes, Singer-Songwriter, Seventies, Soul Pop, Adult Contemporary, Pop-Rock, Soul, Funk, Disco;Maurice White;Allee Willis, & Maurice White;None
Circles;Post Malone;Rock, R&B, Pop, Synth Rock, Soft Rock, Pop-Rock, Chill, Nu Disco, Synth-Pop;Post Malone, Louis Bell & Ging;Tyler Armes, Post Malone, Louis Bell, , Kaan Güneşberk & Billy Walsh;None
Viva La Vida;Coldplay;Pop, Rock, Rock Pop, UK Pop, Chamber Pop, Alternative Pop, Alternative, Alternative Rock, Classical Crossover, Art Pop, Art Rock, Singer-Songwriter, Orchestral, Adult Alternative, Adult Contemporary, Pop-Rock, Chamber Music, Baroque Pop, British Rock, Soundtrack, UK;Brian Eno, Markus Dravs & Rik Simpson;Chris Martin, Guy Berryman, Jonny Buckland & Will Champion;None
Lovely;Billie Eilish & Khalid;Pop, TikTok, Chamber Pop, Baroque Pop, Chamber Music, Alternative Pop, Soul, Ballad;FINNEAS;FINNEAS, & Khalid;None
Without Me;Eminem;Rap, Comedy, Memes, Soundtrack, Hip-Hop, Hardcore Hip-Hop, Satire;Jeff Bass, DJ Head & Eminem;Eminem, , Shawn Baumgardner, Urban Kris, , Trevor Horn, Anne Dudley & Malcolm McLaren;Universal Music Group
Thank God;Kane Brown With Katelyn Brown;Country, New Wave, Pop Country, Ballad, Folk Pop, Duet;Dann Huff;Christian Stalnecker, Jared Mullins, Jaxson Free, Josh Hoge & Kyle Fishman;None
Shinunoga E-Wa;Fujii Kaze;Pop, Genius Japan, Japanese, Japan, J-Pop;Yaffle;藤井風 (Fujii Kaze);None
