Title;Artist;Genre;Producers;Writers;Distributor
High Infidelity;Taylor Swift;Pop, Alternative, Ballad, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Taylor Swift & Aaron Dessner;Taylor Swift & Aaron Dessner;Universal Music Group
Glitch;Taylor Swift;Pop, New Wave, Glitch, Electronica, Ballad, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Sounwave, Jack Antonoff & Taylor Swift;Jack Antonoff, Taylor Swift, Sounwave & Sam Dew;Universal Music Group
Dear Reader;Taylor Swift;Pop, Ballad, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Jack Antonoff & Taylor Swift;Universal Music Group
Nxde;(G)I-DLE;Pop, Alternative Pop, K-Pop (케이팝), Girl Group, South Korea, Genius Korea, Korean;None;JEON SOYEON (전소연), Poptime & Kako (KOR);None
Made You Look;Meghan Trainor;Pop, Teen Pop, Funk, Funk-Pop, Bubblegum Pop, Doo-Wop;Federico Vindver;Sean Douglas, Federico Vindver & Meghan Trainor;None
Eu Gosto Assim;Gustavo Mioto & Mari Fernandez;Non-Music, List, Em Português, Brasil;None;Genius Brasil;None
Remember;Becky Hill & David Guetta;Pop, France, UK, Dance-Pop, Electro-Pop, Dance, Electronic, EDM;Scott Lowe, David Guetta & Franky Wah;Becky Hill, Karen Poole, David Guetta, Kye Sones, Franky Wah & Lewis Thompson;None
Lift Me Up;Rihanna;R&B, Pop, Chamber Folk, Piano, Folk Pop, Memorial, Soul Pop, Marvel, Soundtrack, Ballad;Ludwig Göransson;Rihanna, Tems, Ludwig Göransson, Ryan Coogler & Priscilla Renea;Universal Music Group & Def Jam Recordings
The Astronaut;JIN;Rock, Pop-Rock, K-Rock, Korean, K-Solo, South Korea, Genius Korea;Kygo & Bill Rahko;Guy Berryman, Jonny Buckland, Will Champion, Chris Martin, Jin (진), Kygo, Joan La Barbara & Jóhann Jóhannsson;None
Shirt;SZA;R&B, Plugg, Trap, Pop Rap, Alternative, Contemporary R&B, Alternative R&B;Rodney Jerkins & Freaky Rob;SZA, Rodney Jerkins & Freaky Rob;Sony Music Entertainment
Just Dance!;Travis Japan;Pop, Genius Japan, Boy Band, Japan;Sam Bergeson & Chris Farren;Sam Bergeson, Stephen Ellrod & Tim Riehm;None
Thriller;Michael Jackson;R&B, Pop, Dance, Dance-Pop, Dark Pop, Soundtrack, Eighties, Halloween, Funk, Synth-Pop, Soul;Quincy Jones;Rod Temperton;None
In My Head;Juice WRLD;Rap, Mental Health, Emo Trap, Emo Rap, Trap, Chicago Rap;TrePounds, Max Lord & Sheldon Ferguson;TrePounds, Max Lord, Juice WRLD & Sheldon Ferguson;Universal Music Group
Ghostbusters;Ray Parker Jr.;Pop, Dance Rock, Soundtrack, Singer-Songwriter, Synth-Pop, Eighties;Ray Parker Jr.;Ray Parker Jr.;None
Monster Mash;"Bobby ""Boris"" Pickett And The Crypt-Kickers";Rock, Singer-Songwriter, Sixties, Halloween;Gary S. Paxton;Bobby “Boris” Pickett & Leonard L. Capizzi;None
This Is Halloween;Danny Elfman;Pop, Dark Cabaret, Children's Music, Holiday, Halloween, Soundtrack, Disney;Walt Disney Records;Danny Elfman;None
Somebody's Watching Me;Rockwell;Pop, R&B, Halloween, Eighties, Motown, Electro-Pop, Electronic, Synth-Pop;Rockwell & Curtis Anthony Nolen;Curtis Anthony Nolen & Rockwell;None
Spooky, Scary Skeletons;Andrew Gold;Pop, Nineties, Ragtime, Children's Music, Memes, Halloween;Andrew Gold;Andrew Gold;None
Hotel Lobby (Unc And Phew);Quavo & Takeoff;R&B, Rap, Hip-Hop, Freestyle, Canada;Noel Cadastre & Sevn Thomas;Drake, GIVĒON, Noel Cadastre, Sevn Thomas, Eminem, Jeff Bass & Steve King;Universal Music Group
Highway To Hell;AC/DC;Rock, Seventies, Marvel, Australia, Hard Rock;Robert John Lange;Malcolm Young, Angus Young & Bon Scott;None
All I Want For Christmas Is You;Mariah Carey;R&B, Pop, Piano, New Wave, Christian Pop, Nineties, Holiday, Christmas;Walter Afanasieff & Mariah Carey;Mariah Carey & Walter Afanasieff;None
Sweet Dreams (Are Made Of This);Eurythmics;Pop, UK Pop, Alternative Pop, Adult Alternative, Experimental Pop, Experimental, Singer-Songwriter, UK, Electro-Pop, Synth-Pop, Eighties, New Wave, Memes;Adam Williams & David A. Stewart;David A. Stewart & Annie Lennox;None
Rich Flex;Drake & 21 Savage;Rap, Chipmunk Soul, Memes, Trap, Atlanta Rap, Canada;Tay Keith, Vinylz, FNZ & BoogzDaBeast;Drake, 21 Savage, Vinylz, Tay Keith, Finatik, Zac, BoogzDaBeast, Megan Thee Stallion, J. White Did It, Bobby Sessions, T.I., DJ Toomp, Gladys Hayes, Charles Bernstein, & Simon Plummer;Universal Music Group, Sony Music Entertainment & Epic Records
Major Distribution;Drake & 21 Savage;Rap, Trap, Atlanta Rap, Canada;SkipOnDaBeat, Elijah Fox & Kid Masterpiece;Drake, , SkipOnDaBeat, Elijah Fox, Lil Yachty, & Kid Masterpiece;Universal Music Group, Sony Music Entertainment & Epic Records
On BS;Drake & 21 Savage;Rap, Pop Rap, New Wave, Trap, Atlanta Rap, Canada;OZ & Elyas;Drake, 21 Savage, OZ, Elyas & Simon Gebrelul;Epic Records, Sony Music Entertainment & Universal Music Group
Pussy & Millions;Drake & 21 Savage Featuring Travis Scott;Rap, R&B, Pop Rap, Alternative R&B, Texas Rap, Trap, Atlanta Rap, Canada;Cheeze Beatz, Go Grizzly, Squat Beats & B100;Drake, 21 Savage, Travis Scott, Cheeze Beatz, Go Grizzly, Squat Beats, B100, Lil Yachty, Irvin Whitlow, Josiah Nasir Muhammad, Morris Jones & Dizzycleanface;Sony Music Entertainment, Epic Records & Universal Music Group
Spin Bout U;Drake & 21 Savage;R&B, Rap, Alternative R&B, Alternative, Trap, Atlanta Rap, Canada;BanBwoi, 40 & FortyOneSix;Drake, 21 Savage, BanBwoi, , Oobie & Dwayne Armstrong;Epic Records, Sony Music Entertainment & Universal Music Group
Circo Loco;Drake & 21 Savage;Rap, Diss Track, Hip-Hop, Trap, Atlanta Rap, Canada;Boi-1da, Tay Keith & 40;Drake, 21 Savage, Boi-1da, Tay Keith, 40, Lil Yachty, Guy-Manuel de Homem-Christo, Thomas Bangalter & Romanthony;Sony Music Entertainment, Epic Records & Universal Music Group
Privileged Rappers;Drake & 21 Savage;Rap, Trap, Atlanta Rap, Canada;Earl on the Beat, Gentuar Memishi & 40;Drake, 21 Savage, Earl on the Beat, Gentuar Memishi, 40, Lil Yachty, Ronald Isley, Ernie Isley, O’Kelly Isley, Marvin Isley & Chris Jasper;Sony Music Entertainment, Epic Records & Universal Music Group
BackOutsideBoyz;Drake;Rap, Trap, Canada;Rio Leyva, Dez Wright & Taz Taylor;Drake, Rio Leyva, Dez Wright, Taz Taylor & Lil Yachty;Sony Music Entertainment, Universal Music Group & Epic Records
Broke Boys;Drake & 21 Savage;Rap, Trap, Atlanta Rap, Canada;Wheezy, Tay Keith, Jack Uriah, Audio Anthem, Luke Crowder & KrishnaMusic;Drake, 21 Savage, Wheezy, Tay Keith, Jack Uriah, Audio Anthem, Luke Crowder & KrishnaMusic;Sony Music Entertainment, Epic Records & Universal Music Group
Hours In Silence;Drake & 21 Savage;Rap, Alternative R&B, Cloud Rap, Trap, Atlanta Rap, Canada;Nyan, Mcevoy, 40, Noel Cadastre & Daniel East;Drake, 21 Savage, , Mcevoy, , Noel Cadastre, Daniel East & DJ Paul;Sony Music Entertainment, Epic Records & Universal Music Group
Treacherous Twins;Drake & 21 Savage;Rap, New Wave, Trap, Atlanta Rap, Canada;OZ, Noel Cadastre & Boi-1da;Drake, 21 Savage, Noel Cadastre, , Boi-1da, Ginuwine, Timbaland, Magoo, Thom Bell & Linda Creed;Sony Music Entertainment, Epic Records & Universal Music Group
Middle Of The Ocean;Drake;Rap, Hip-Hop, Canada;OZ, Nik D, Noel Cadastre, Sucuki & LOOF;Drake, OZ, Noel Cadastre, , Sucuki, Cam’ron, Jim Jones, Juelz Santana, D/R Period & Kenneth Gamble & Leon Huff;Sony Music Entertainment, Epic Records & Universal Music Group
Jumbotron Shit Poppin;Drake;Rap, Trap, Canada;F1LTHY, CuBeatz, Oogie Mane, Sad Pony, 40, Klimperboy, DannoProductionz & Dilara;Drake, F1LTHY, Kevin Gomringer, Tim Gomringer, Sad Pony, Oogie Mane, , Klimperboy, DannoProductionz, Dilara & Lil Yachty;Sony Music Entertainment, Epic Records & Universal Music Group
More M’s;Drake & 21 Savage;Rap, Trap, Atlanta Rap, Canada;Metro Boomin, DAVID x ELI & Kyson;Drake, 21 Savage, Metro Boomin, David Ruoff & Elias Klughammer;Sony Music Entertainment, Epic Records & Universal Music Group
Die For You;Joji;R&B, Pop, Electro, Electro-Pop, Dream Pop, Synth-Pop, Alternative Pop, Electronic, Ballad, Piano, Alternative;Jacob Ray, Wes Singerman & Tay Dex;Joji, Dewain Whitmore, Patrick “J. Que” Smith, Tay Dex, Jacob Ray & Wes Singerman;None
I Guess It's Fuck Me;Drake;Rap, Emo Rap, Cloud Rap, Trap, Canada;TheLoudPack;Drake, IsThisShiv, MixedByTheBest & Dougie F;Sony Music Entertainment, Epic Records & Universal Music Group
3AM On Glenwood;21 Savage;Rap, Atlanta Rap, Trap;OZ, Peter Iskander & 40;21 Savage, OZ, Peter Iskander & 40;Epic Records, Sony Music Entertainment & Universal Music Group
My Mind & Me;Selena Gomez;Pop, Ballad, Piano, Dream Pop, Letter, TV, Singer-Songwriter, Soundtrack;The Monsters & Strangerz;Selena Gomez, Amy Allen, Jon Bellion, Michael Pollack, Stefan Johnson & Jordan K. Johnson;None
I'm Yours;Isabel LaRosa;Pop, Dark Pop, Indie, Alternative, Alternative Pop;Thomas LaRosa;Isabel LaRosa & Thomas LaRosa;None
Feeling Like The End;Joji;R&B, Pop, Trap, Indie, Pop-R&B, Chill;Tim Randolph & Whethan;Keith Varon, Lauren Sanderson, Suburban Plaza, Tim Randolph, Whethan, Joji & Starrah;None
Before The Day Is Over;Joji;Pop, R&B, Emo Pop, Emo, Alternative R&B, Alternative Pop, Pop-R&B, Ballad, Alternative;Justin Parker;Justin Parker, Sam Dew & Joji;None
Dream On;Aerosmith;Rock, Piano, Album-Oriented Rock (AOR), Singer-Songwriter, Blues Rock, Seventies, Ballad, Hard Rock;Adrian Barber;Steven Tyler;None
Last Christmas;Wham!;Pop, UK Pop, Disco, Adult Contemporary, Eighties, Singer-Songwriter, UK, Holiday, Christmas, New Wave, Synth-Pop;George Michael;George Michael;None
10:35;Tiesto Featuring Tate McRae;Pop, New Wave, Nederland, Canada, Garage House, EDM, Electro-Pop, Dance, House, Dance-Pop;Tiësto, LOSTBOY & Ryan Tedder;Tiësto, Amy Allen, Scott Harris, Ryan Tedder, LOSTBOY & Tate McRae;None
Night Rider;Joji;Pop, R&B, Chill, Indie, Pop-R&B, Alternative R&B, Alternative Pop, Indie Electronic, Electronic, Trap, Alternative;Joji;Joji & Isaac Sleator;None
TV;Billie Eilish;Pop, Dream Pop, American Folk, Contemporary Folk, Slowcore, Alternative Country, Piano, Alternative, Alternative Pop, Ballad;FINNEAS;FINNEAS & Billie Eilish;Universal Music Group
APA;Mora & Quevedo;Pop, Electronic, Electro House, Latin Pop, Puerto Rico, Latin Urban, Latin Music, Spanish Urban, Spanish Music, En Español;Neneto & Machael;Mora & Quevedo;The Orchard
Rockin' Around The Christmas Tree;Brenda Lee;Pop, Holiday, Retro, Christmas;Owen Bradley;Johnny Marks;None
Jingle Bell Rock;Bobby Helms;Rock, Country, Retro, Holiday, Rockabilly, Christmas;Paul Cohen;Jim Boothe &;None
Santa Tell Me;Ariana Grande;R&B, Pop, Bubblegum Pop, Teen Pop, Singer-Songwriter, Holiday, Christmas;ILYA;ILYA, Ariana Grande & Savan Kotecha;None
Con La Brisa;Foudeqush & Ludwig Goransson;R&B, Pop, Indie Pop, Alternative Pop, Spanish Pop, Alternative R&B, Pop-R&B, Soul Pop, Folk Pop, Chill, En Español, México;Ludwig Göransson;Foudeqush & Ludwig Göransson;None
Born Again;Rihanna;Pop, Adult Contemporary, Soul Pop, Soul, Lullaby, Soundtrack, Ballad;The-Dream, Ludwig Göransson & Anthony Baldino;Rihanna, James Fauntleroy, Ludwig Göransson, The-Dream, Tems & Anthony Baldino;Universal Music Group
Run BTS;BTS;Rap, K-Idol-Hip-Hop, South Korea, Genius Korea, Korean, Boy Band;Dem Jointz & GHSTLOOP;Ebby, Daniel Caesar (of Caesar & Loui), Dem Jointz, , j-hope, GHSTLOOP, Jung Kook (정국), SUGA (슈가), Oneye, Ludwig Lindell, Melanie Joy Fontana, Michel “Lindgren” Schulz & Feli Ferraro;None
Alone;Burna Boy;R&B, Rap, Soundtrack, Nigerian Pidgin, Nigeria, Afrobeats;Ludwig Göransson & P.Priime;Ludwig Göransson, Burna Boy & P.Priime;None
It's Beginning To Look A Lot Like Christmas;Michael Buble;Pop, Canada, Holiday, Christmas, Jazz;David Foster;Meredith Willson;None
Bzrp Music Sessions, Vol. 50;Bizarrap & Duki;Rap, Trap, Latin Trap, Latin Rap, Argentina, Latin Urban, Latin Music, En Español;Bizarrap;Duki, Bizarrap & Santiago Alvarado;The Orchard
Wait In The Truck;HARDY Featuring Lainey Wilson;Country, Ballad, Outlaw Country, Singer-Songwriter;Joey Moi, HARDY, Jordan Schmidt & Derek Wells;Hunter Phelps, Jordan Schmidt, HARDY & Renee Blair;None
It's The Most Wonderful Time Of The Year;Andy Williams;Pop, Sixties, Christmas, Holiday;Robert Mersey;George Wyle & Eddie Pola;None
Here With Me;d4vd;Pop, Alternative Pop, Folk, Indie;Blueday & Dan Darmawan;d4vd;None
Underneath The Tree;Kelly Clarkson;Pop, Christmas, Bubblegum Pop, Holiday;Greg Kurstin;;None
A Holly Jolly Christmas;Burl Ives;Pop, Holiday, Cover, Christmas;None;Johnny Marks;None
Dreamers (Music From The FIFA World Cup Qatar 2022);Jung Kook;Rap;J. Cole;J. Cole;None
Let It Snow! Let It Snow! Let It Snow!;Dean Martin;Pop, Holiday, Retro, Christmas;Jimmy Bowen;Jule Styne & Sammy Cahn;None
Down In Atlanta;Pharrell Williams & Travis Scott;Pop, Rap, Alternative Dance, Dance, Alternative, Hip-Hop, Synthwave, Synth-Pop, Dance-Pop, Bedroom Pop, Alternative Pop, Pop Rap, Texas Rap;Pharrell Williams;Travis Scott & Pharrell Williams;Sony Music Entertainment
Feliz Navidad;Jose Feliciano;Rock, Pop, Puerto Rico, Seventies, En Español, Latin Pop, Latin Music, Holiday, Christmas;Rick Jarrard;José Feliciano;None
Cairo;Karol G & Ovy On The Drums;Pop, Dance, Moombahton, Dancehall, Colombia, En Español, Latin Pop, Latin Urban, Latin Music;Ovy On The Drums;KAROL G, Ovy On The Drums & KEITYN;None
Waka Waka (This Time For Africa);Shakira Featuring Freshlyground;Rap, Pop Rap, Atlanta Rap, DMV, Memes, Trap;Drumma Boy;Drumma Boy, Wale, Roscoe Dash & Waka Flocka Flame;None
Tukoh Taka (Music From The FIFA World Cup Qatar 2022);Nicki Minaj x Maluma x Myriam Fares;Pop, Soundtrack, Dembow, Lebanese Rap - راب لبناني, Electro House, EDM, Electronic, Colombia, Latin Pop, Latin Music, En Español, Football (Soccer);Play-N-Skillz, Gordo & Massari;Myriam Fares, Nicki Minaj, Maluma, Scott Summers, Gordo, Dizzycleanface, Gary Walker, luXe Timeless, Juan Salinas, Monique Fonseca Luchese, Oscar Salinas, Raúl Antonio Treviño, Massari, Steven Cespedes & Wassim Salibi;Universal Music Group
Sleigh Ride;The Ronettes;Pop, Christmas;Phil Spector;Mitchell Parish & Leroy Anderson;None
It's Beginning To Look Like Christmas;Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra;Pop, Christmas;None;Meredith Willson;None
The Christmas Song (Merry Christmas To You);Nat King Cole;Pop, Holiday, Jazz, Christmas;Lee Gillette;Robert Wells & Mel Tormé;None
Snowman;Sia;Pop, TikTok, Ballad, Australia, Holiday;Greg Kurstin;Sia & Greg Kurstin;None
Mistletoe;Justin Bieber;Pop, Holiday, Christmas, Canada;The Messengers;Justin Bieber, Adam Messinger & Nasri;None
Evoque Prata;MC MENOR HR E MC Menor SG & DJ ESCOBAR;Rap, Brasil, TikTok, Em Português, Funk Nacional;DJ Escobar;MC MENOR HR & MC MENOR SG;None
White Christmas;Bing Crosby;Pop, Christmas;None;Irving Berlin;None
Christmas (Baby Please Come Home);Darlene Love;Pop, Holiday, Christmas;None;Traditional;None
Jingle Bells;Frank Sinatra;Pop, Holiday, Christmas;Voyle Gilmore;James Lord Pierpont;None
Wonderful Christmastime;Paul McCartney;Pop, UK Pop, Memes, New Wave, Synth-Pop, Seventies, UK, Singer-Songwriter, Pop-Rock, Christmas, Holiday;Paul McCartney;Paul McCartney;None
Do They Know It's Christmas?;Band Aid;Rock, Pop, UK, Eighties, Charity, Holiday, Synth-Pop, New Wave, Christmas;Trevor Horn & Midge Ure;Midge Ure & Bob Geldof;None
Holly Jolly Christmas;Michael Buble;Pop, Canada, Cover, Holiday, Christmas, Jazz;David Foster;Johnny Marks;None
Deck The Halls;Nat King Cole;R&B, Pop, Cover, Traditional, Holiday, Jazz, Soul Jazz, Soul, Soul Pop, Christmas;Lee Gillette;Thomas Oliphant;None
Happy Xmas (War Is Over);John & Yoko/The Plastic Ono Band With The Harlem Community Choir;Pop, Rock, Orchestral, Baroque Pop, Folk Pop, Brill Building, Pop-Rock, UK, Seventies, Singer-Songwriter, Protest Songs, Holiday, Christmas;Yoko Ono, John Lennon & Phil Spector;Yoko Ono & John Lennon;None
Blue Christmas;Elvis Presley;R&B, Country, Rock, Holiday, Retro, Cover, Pop Country, Christmas;None;Jay W. Johnson & Billy Hayes;None
Santa Claus Is Comin' To Town;Jackson 5;R&B, Pop, Cover, Holiday, Seventies, Motown, Funk, Soul, Soul Pop, Christmas;Hal Davis;Haven Gillespie & J. Fred Coots;None
Merry Christmas Everyone;Shakin' Stevens;Pop, Pop-Rock, UK Pop, Eighties, Wales, UK, Holiday, Christmas;Dave Edmunds;Bob Heatlie;None
Escapism;RAYE Featuring 070 Shake;Rap, Pop, Trip-Hop, Alternative Pop, Pop Rap, UK Rap, UK Pop, UK;Mike Sabath;RAYE, 070 Shake & Mike Sabath;None
Santa Baby;Eartha Kitt With Henri Rene And His Orchestra;Pop, Easy Listening, Retro, Soundtrack, Holiday, Jazz, Christmas;Henri René;Tony Springer, Philip Springer & Joan Javits;None
Rudolph The Red-Nosed Reindeer;Gene Autry;Country, Children's Music, Retro, Christmas;Art Satherly;Johnny Marks;None
Driving Home For Christmas;Chris Rea;Pop, Pop-Rock, Piano, Christmas, Eighties, UK;Stuart Eales & Chris Rea;Chris Rea;None
Merry Christmas;Ed Sheeran & Elton John;Pop, Charity, Singer-Songwriter, UK, Holiday, Christmas;Steve Mac;Elton John & Ed Sheeran;None
Hallelujah;Pentatonix;Pop, Cover, A Cappella, Christmas;Ben Bram & Pentatonix;Leonard Cohen;None
Run Rudolph Run;Chuck Berry;Rock, Holiday, Christmas;Phil Chess & Leonard Chess;Marvin Brodie & Johnny Marks;None
Here Comes Santa Claus (Right Down Santa Claus Lane);Gene Autry;Country, Pop, Retro, Singer-Songwriter, Holiday, Christmas;Oakley Haldeman;Gene Autry & Oakley Haldeman;None
Little Saint Nick;The Beach Boys;Pop, Christmas;Brian Wilson;Mike Love & Brian Wilson;None
You're A Mean One, Mr. Grinch;Thurl Ravenscroft;Pop, Musicals, Sixties, Soundtrack, Children's Literature, Children's Music, Holiday, Christmas;Jesse Kaye;Dr. Seuss & Albert Hague;None
Like It's Christmas;Jonas Brothers;Pop, Holiday, Christmas;Ryan Tedder, Mike Elizondo, Jason Evigan, Freddy Wexler & Gian Stone;Nick Jonas, Joe Jonas, Kevin Jonas, Jason Evigan, Gian Stone, Freddy Wexler & Annika Wells;None
Have Yourself A Merry Little Christmas;Michael Buble;Pop, Canada, Christmas, Jazz;Bob Rock;Ralph Blane & Hugh Martin;None
Que Agonia;Yuridia & Angela Aguilar;Country, Ranchera, México, Regional Mexicano, Latin Music, En Español;Eden Muñoz;Pepe Aguilar, Ángela Aguilar & Gussy Lau;Sony Music México
Shut Up My Moms Calling;Hotel Ugly;Pop, Indie Pop, Indie, Alternative Pop;Hotel Ugly;Hotel Ugly;None
This Christmas;Donny Hathaway;R&B, Holiday, Christmas, Soul;Ric Powell & Donny Hathaway;Nadine McKinnor & Donny Hathaway;None
Creepin';Metro Boomin, The Weeknd & 21 Savage;Pop, R&B, Rap, Downtempo, Pop Rap, Synth-Pop, Alternative R&B, Alternative, Pop-R&B, Trap, Hip-Hop, Canada, Atlanta Rap;Metro Boomin, DaHeala, Peter Lee Johnson & johan lenox;Metro Boomin, 21 Savage, DaHeala, Peter Lee Johnson, johan lenox, Mario Winans, Enya, Roma Ryan, Loon, PMD, Erick Sermon, , Michael Carlos Jones & Diddy;Universal Music Group
Superhero (Heroes & Villains);Metro Boomin, Future & Chris Brown;Pop, EDM, Trap, Electronic;Unknown Brain;Unknown Brain & Chris Linton;None
La Jumpa;Arcangel & Bad Bunny;Rap, Pop, House, Drill, Latin Drill, Latin Rap, Trap, Latin Trap, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;MAG & JULiA LEWiS;Arcángel & Bad Bunny;The Orchard
Niagara Falls (Foot Or 2);Metro Boomin, Travis Scott & 21 Savage;Rap, Canada;Jazzfeezy & Steve Samson;Jazzfeezy, Steve Samson & Drake;Universal Music Group
Too Many Nights;Metro Boomin Featuring Don Toliver & Future;Rap, Atlanta Rap, Texas Rap, Trap;Metro Boomin, Honorable C.N.O.T.E. & Allen Ritter;Metro Boomin, Don Toliver, Future, Honorable C.N.O.T.E. & Allen Ritter;Universal Music Group
Umbrella;Metro Boomin, 21 Savage & Young Nudy;Rap, Atlanta Rap, Trap;Metro Boomin, Peter Lee Johnson, DAVID x ELI & Oracles;Metro Boomin, 21 Savage, Young Nudy, David Ruoff, Elias Klughammer, Peter Lee Johnson, Dennis Juengel, Joshua Gottmanns, & Morgan Freeman;Universal Music Group
Raindrops (Insane);Metro Boomin & Travis Scott;Pop, Tropical House, Dance, Electronic;SNBRN;SNBRN & Kerli;None
Wild Flower;RM With Youjeen;Rock, Duet, Korean, K-Rock, K-Solo, South Korea, Genius Korea;DOCSKIM;RM & DOCSKIM;None
Trance;Metro Boomin, Travis Scott & Young Thug;Rap, Psychedelic Trance, Psychedelic, Trance, Trap, Atlanta Rap, Texas Rap;Metro Boomin, Allen Ritter & Peter Lee Johnson;Metro Boomin, Travis Scott, Young Thug, Allen Ritter & Peter Lee Johnson;Universal Music Group
On Time;Metro Boomin & John Legend;Pop, R&B, Rap, Soul Rap;Metro Boomin, TM88, Peter Lee Johnson, DJ Moon & johan lenox;Metro Boomin, John Legend, Peter Lee Johnson, , DJ Moon, johan lenox & Jozzy;Universal Music Group
Metro Spider;Metro Boomin & Young Thug;Rap, Piano, Dark Trap, Trap, Atlanta Rap;Metro Boomin, OZ, Allen Ritter, Nik D & Elkan;Metro Boomin, Young Thug, Allen Ritter, , Nik D, Elkan, Motif Alumni & Kas (Producer);Universal Music Group
Bloody Mary;Lady Gaga;Pop, TikTok, Techno, Electro-Pop, Electronic, Art Pop, Synth-Pop;Lady Gaga, DJ White Shadow & DJ Snake;DJ White Shadow, Lady Gaga, Fernando Garibay, DJ Snake & Clinton Sparks;Universal Music Group
Around Me;Metro Boomin Featuring Don Toliver;R&B, Rap, Psychedelic, Pop Rap, Hip-Hop, Trap, Texas Rap;Metro Boomin & Prince 85;Metro Boomin, Don Toliver, Prince 85 & Simon Park;Universal Music Group
Walk Em Down (Don't Kill Civilians);Metro Boomin & 21 Savage Featuring Mustafa;Rap, West Coast, Memphis, Trap;Los Hendrix & CashMoneyAP;Los Hendrix, CashMoneyAP, NLE Choppa & Roddy Ricch;Warner Records
I Can't Save You (Interlude);Metro Boomin & Future Featuring Don Toliver;Rap, Trap, Remix;Juice808;Lil Wayne;None
One Thing At A Time;Morgan Wallen;Country, Pop Country, Singer-Songwriter;Joey Moi;Ashley Gorley, ERNEST, Morgan Wallen & Charlie Handsome;None
Feel The Fiyaaaah;Metro Boomin & A$AP Rocky Featuring Takeoff;Rap, Outro, Hip-Hop, East Coast, Chipmunk Soul, New York, Atlanta Rap, Trap;Metro Boomin & Thundercat;Metro Boomin, A$AP Rocky, Takeoff, Thundercat & Peabo Bryson;Universal Music Group
Tennessee Fan;Morgan Wallen;Country, Pop Country, Singer-Songwriter;Joey Moi;Ashley Gorley, Mark Holman, HARDY & Morgan Wallen;None
All The Money (Bonus);Metro Boomin & Gunna;Rap, Battle Rap, Detroit, Beef, Hardcore Hip-Hop, Hip-Hop, Trap;Boi-1da, Jahaan Sweet, IllaDaProducer & Eminem;Eminem, Joyner Lucas, Boi-1da, Jahaan Sweet & IllaDaProducer;Universal Music Group
Lock On Me;Metro Boomin, Travis Scott & Future;Rap, Atlanta Rap, Texas Rap, Trap;Metro Boomin, Chris Townsend & Allen Ritter;Metro Boomin, Travis Scott, Future, Allen Ritter & Chris Townsend;Universal Music Group
Days That End In Why;Morgan Wallen;Country, Ballad;Joey Moi;Blake Pendergrass, Driver Williams & John Byron;None
Let It Snow, Let It Snow, Let It Snow;Frank Sinatra With The B. Swanson Quartet;Pop, Cover, Christmas;None;Sammy Cahn & Jule Styne;None
Heather;Conan Gray;Pop, LGBTQ+, Teen Pop, Ballad, Adult Contemporary;Jam City & Dan Nigro;Conan Gray;
Santa, Can't You Hear Me;Kelly Clarkson & Ariana Grande;Pop, Holiday, Christmas;Jason Halbert;Aben Eubanks & Kelly Clarkson;None
You Make It Feel Like Christmas;Gwen Stefani Featuring Blake Shelton;Pop, Christmas;busbee & Eric Valentine;Blake Shelton, busbee, Justin Tranter & Gwen Stefani;None
Please Come Home For Christmas;Eagles;Country, Rock, Seventies, Christmas;Bill Szymczyk;Gene Redd & Charles Brown;None
Christmastime Is Here;Vince Guaraldi Trio;Pop, TV, Children's Music, Soundtrack, Choral Music, Sixties, Ballad, Piano, Holiday, Christmas, Jazz Fusion, Jazz;Vince Guaraldi;Vince Guaraldi & Lee Mendelson;None
Antidepresan;Mert Demir & Mabel Matiz;Pop, Türkçe Sözlü Pop, Türkiye, Turkey;Mert Demir;Mabel Matiz & Mert Demir;None
Step Into Christmas;Elton John;Rock, Pop, Holiday, UK, Seventies, Piano Rock, Pop-Rock, Piano, Christmas;Gus Dudgeon;Bernie Taupin & Elton John;None
Someday At Christmas;Lizzo;Pop, Cover;None;Ronald Miller & Bryan Wells;None
Cozy Little Christmas;Katy Perry;Pop, Christmas, Holiday;Greg Wells;Greg Wells, Ferras & Katy Perry;None
Baby, It's Cold Outside;Dean Martin;Pop, Retro, Holiday, Jazz, Christmas;Lee Gillette;Frank Loesser;None
Still Life;RM With Anderson .Paak;Rap, Duet, Korean, K-Hip-Hop, K-Solo, South Korea, Genius Korea;Ninos Hanna, Emil Schmidt, Adam Kulling & GHSTLOOP;RM, Ninos Hanna, Emil Schmidt, Adam Kulling & GHSTLOOP;None
Santa Claus Is Comin' To Town;Bruce Springsteen;Rock, Christmas;Mike Appel, Jimmy Iovine & Bruce Springsteen;J. Fred Coots & Haven Gillespie;None
Have Yourself A Merry Little Christmas;Frank Sinatra;Pop, Traditional, Holiday, Retro, Christmas;None;Ralph Blane & Hugh Martin;None
Fairytale Of New York;The Pogues Featuring Kirsty MacColl;Rock, Pop, Piano Rock, Holiday, Ballad, British Rock, UK, Duet, Symphonic Rock, Celtic Punk, Folk Punk, Piano, Eighties, Irish Folk, Celtic, Christmas, Folk, Folk Rock;Steve Lillywhite;Shane MacGowan & Jem Finer;None
