Title,Artist,Rank,Last Week,Peak Positon,Weeks on charts
Me Porto Bonito,Bad Bunny & Chencho Corleone,42,43,2,40
Something In The Orange,Zach Bryan,43,39,23,41
Bad Habit,Steve Lacy,44,41,8,31
PRC,Peso Pluma X Natanael Cano,45,73,45,2
Titi Me Pregunto,Bad Bunny,46,45,4,40
Que Vuelvas,Carin Leon X Grupo Frontera,47,42,34,7
Zona de Perigo,Leo Santana,48,-,48,1
Stay,The Kid LAROI & Justin Bieber,49,36,1,83
Blinding Lights,The Weeknd,50,46,2,127
Heat Waves,Glass Animals,51,52,1,110
Lift Me Up,Rihanna,52,67,3,15
Starboy,The Weeknd Featuring Daft Punk,53,56,52,84
Cold Heart (PNAU Remix),Elton John & Dua Lipa,54,54,3,78
Bones,Imagine Dragons,55,57,32,48
Levitating,Dua Lipa,56,59,2,123
Despecha,Rosalia,57,51,6,28
Bloody Mary,Lady Gaga,58,47,31,10
Snap,Rosa Linn,59,49,18,31
Perfect,Ed Sheeran,60,60,30,127
Mockingbird,Eminem,61,55,42,17
Lavender Haze,Taylor Swift,62,35,2,16
Sweater Weather,The Neighbourhood,63,61,25,124
Hype Boy,NewJeans,64,62,52,27
Fin de Semana,Junior H X Oscar Maydon,65,58,58,4
Shivers,Ed Sheeran,66,63,3,74
Leao,Marilia Mendonca,67,65,51,5
Feliz Cumpleanos Ferxxo,Feid,68,64,61,23
Let Go,Central Cee,69,48,31,8
People,Libianca,70,81,69,4
Easy On Me,Adele,71,94,1,70
Gato de Noche,Nengo Flow & Bad Bunny,72,69,28,7
Shut Up My Moms Calling,Hotel Ugly,73,84,64,10
When I Was Your Man,Bruno Mars,74,75,74,20
About Damn Time,Lizzo,75,103,6,43
Ojitos Lindos,Bad Bunny & Bomba Estereo,76,79,4,40
Low,SZA,77,72,24,9
Kick Back,Kenshi Yonezu,78,74,13,18
Unstoppable,Sia,79,80,79,52
Efecto,Bad Bunny,80,88,7,40
Nobody Gets Me,SZA,81,71,12,9
LLYLM,Rosalia,82,66,66,2
I'm Not Here To Make Friends,Sam Smith,83,53,53,2
Trustfall,P!nk,84,139,84,2
Bad Habits,Ed Sheeran,85,76,1,85
Antifragile,LE SSERAFIM,86,77,38,17
Thought You Should Know,Morgan Wallen,87,148,40,6
I Wanna Be Yours,Arctic Monkeys,88,85,71,23
Chorrito Pa Las Animas,Feid,89,96,89,5
Rock And A Hard Place,Bailey Zimmerman,90,90,59,33
Romantic Homicide,d4vd,91,82,35,23
No Se Va,Grupo Frontera,92,87,31,20
Marisola,Cris Mj Featuring Standly,93,86,70,8
You Proof,Morgan Wallen,94,112,22,39
Late Night Talking,Harry Styles,95,123,2,38
Someone You Loved,Lewis Capaldi,96,92,24,127
The Color Violet,Tory Lanez,97,89,85,6
Punto G,Quevedo,98,83,66,6
Monotonia,Shakira + Ozuna,99,78,18,16
Wait For U,Future Featuring Drake & Tems,100,105,2,41
The Kind Of Love We Make,Luke Combs,101,100,38,30
Provenza,Karol G,102,104,6,42
Nonsense,Sabrina Carpenter,103,91,36,4
Jimmy Cooks,Drake Featuring 21 Savage,104,102,3,34
Shirt,SZA,105,98,18,15
Baby Shark,Pinkfong,106,93,38,126
Believer,Imagine Dragons,107,97,52,127
Shape Of You,Ed Sheeran,108,101,55,127
Cairo,Karol G & Ovy On The Drums,109,107,89,12
I Wrote The Book,Morgan Wallen,110,-,110,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,111,121,41,127
Glimpse Of Us,Joji,112,106,2,35
Viva La Vida,Coldplay,113,110,107,25
No Role Modelz,J. Cole,114,113,97,83
Enemy,Imagine Dragons X JID,115,108,3,67
Que Agonia,Yuridia & Angela Aguilar,116,115,95,10
Metamorphosis,INTERWORLD,117,111,101,8
Lovely,Billie Eilish & Khalid,118,117,70,127
I Like You (A Happier Song),Post Malone Featuring Doja Cat,119,136,7,36
Without Me,Eminem,120,114,39,70
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,121,109,21,20
Yellow,Coldplay,122,122,68,96
Dandelions,Ruth B.,123,124,51,56
Moscow Mule,Bad Bunny,124,135,2,40
Shallow,Lady Gaga & Bradley Cooper,125,118,59,124
